> CAGL0A00187g CAGL0A00165g 54652 233147
> NDAI0D03650 NDAI0D03660 54639 233154
> NCAS0A01730 NCAS0A01740 54638 233153

	233157 233156 233155 233154 233153 233152 233151 233150 233149 233148 233147 233146 233145 233144 233143 233142 233141 233140 233139 233138 233137 233136 233135 233134 233133 233132 233131 233130 233129 
54655	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54654	0 6.053295328e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54653	0 0 1.51364589e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54652	0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54651	0 0 0 0 0 0 0 0 0 0 0 0.6666616223 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54650	0 0 0 0 0 0 0 0 0 0 0 0 0.6666767558 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54649	0 0 0 0 0 0 0 0 0 0.3333686438 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54648	0 0 0 0 0 0 0 0 0 0 0 0 0 0.333353513 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54647	0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.026879562e-05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54646	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54645	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54644	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.339474765e-13 0 0 0 0 0 0 0 0 0 0 0 
54643	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.092022843e-09 0 0 0 0 0 0 0 0 0 0 
54642	0 0.5000000013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54641	0.5000000013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54640	0 0 0.5000000013 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54639	0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54638	0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54637	0 0 0 0 0 0.9999943251 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54636	0 0 0 0 0 0 0 0 0.8749616902 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54635	0 0 0 0 0 0 0 0 0 0.8749957382 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54634	0 0 0 0 0 0 0 0 0 0 0 0.7499517591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
