Ecym_YGOB_RNH203 Ecymbalariae
Agos_YGOB_RNH203 Egossypii
KAFR0G00190 Kafricana
KLLA0C03256g Klactis
KNAG0C00800 Knaganishii
SAKL0C03608g Lkluyveri
KLTH0F03432g Lthermotolerans
Kwal_33.13580 Lwaltii
NCAS0B08550 Ncastellii
NDAI0A00680 Ndairenensis
Skud_12.226 Skudriavzevii
Smik_12.222 Smikitae
Smik_12.222 Suvarum
TBLA0A05880 Tblattae
TDEL0C05700 Tdelbrueckii
TPHA0I02540 Tphaffii
Kpol_2000.18 Vpolyspora
Zrou_YGOB_RNH203 Zrouxii
