KAFR0C02060 KAFR0C02070
KAFR0G03770 KAFR0G03780
KNAG0A08010 KNAG0A08020
KNAG0B00700 KNAG0B00690
NCAS0E00710 NCAS0E00700
NCAS0F03640 NCAS0F03650
NDAI0B05940 NDAI0B05950
NDAI0I02800 NDAI0I02790
YGR142W YGR143W
YPR158W YPR159W
TBLA0C04550 TBLA0C04560
TBLA0D02860 TBLA0D02850
TPHA0A05750 TPHA0A05760
TPHA0D03330 TPHA0D03340
