Cgla_YGOB_YIL102C-A Cglabrata
Ecym_8237 Ecymbalariae
Agos_YGOB_YIL102C-A Egossypii
KAFR0E01730 Kafricana
KLLA0E11727g Klactis
KNAG0F02760 Knaganishii
Sklu_YGOB_YIL102C-A Lkluyveri
NCAS0D01620 Ncastellii
NDAI0D01550 Ndairenensis
YIL102C-A Scerevisiae
TBLA0D01590 Tblattae
TDEL0E03640 Tdelbrueckii
TPHA0B02500 Tphaffii
ZYRO0C10978g Zrouxii
