Cgla_YGOB_YER053C-A CAGL0L00803g
KAFR0I01900 KAFR0I01890
KAFR0L00805 KAFR0L00810
Klac_YGOB_YER053C-A KLLA0F27533g
Sklu_YGOB_YER053C-A SAKL0F08382g
Kthe_YGOB_YER053C-A KLTH0A04092g
NCAS0E03130 NCAS0E03140
NDAI0E04360 NDAI0E04350
YER053C-A YER054C
TBLA0D04150 TBLA0D04140
TDEL0H02150 TDEL0H02140
TPHA0C01170 TPHA0C01160
Zrou_YGOB_YER053C-A ZYRO0D16720g
