CAGL0H04653g CAGL0H04631g
Ecym_4063 Ecym_4064
ADR196W ADR195C
KAFR0C05410 KAFR0C05400
KLLA0A01738g KLLA0A01760g
KNAG0B03670 KNAG0B03680
SAKL0G04972g SAKL0G04950g
KLTH0G03806g KLTH0G03784g
NCAS0H02570 NCAS0H02560
NDAI0C01050 NDAI0C01060
TBLA0D01630 TBLA0D01640
TDEL0A03930 TDEL0A03920
TPHA0D02350 TPHA0D02340
ZYRO0D12606g ZYRO0D12584g
