ABL028W ABL027W
KAFR0D03020 KAFR0D03030
KLLA0B12716g KLLA0B12738g
KNAG0A06290 KNAG0A06300
SAKL0E03608g SAKL0E03586g
KLTH0D04818g KLTH0D04840g
NCAS0A04360 NCAS0A04370
NDAI0K01370 NDAI0K01380
YKL126W YKL125W
TBLA0I01370 TBLA0I01360
TDEL0A02220 TDEL0A02230
TPHA0G02910 TPHA0G02920
ZYRO0G02530g ZYRO0G02552g
