#Species	Gene_1	Ext_1	Species	Gene_2	Ext_2	Weight
Scerevisiae	2695_195372	h	Scerevisiae	2696_109880	t	1
Cglabrata	603_186701	h	Cglabrata	805_84980	h	1
Knaganishii	1248_209062	t	Knaganishii	1677_144208	h	1
Ndairenensis	1248_209054	t	Ndairenensis	1677_144211	h	1
Scerevisiae	1248_209039	t	Scerevisiae	1677_144204	h	1
Scerevisiae	1154_118196	t	Scerevisiae	1155_106911	t	1
Ndairenensis	1154_118190	t	Ndairenensis	1155_106897	t	1
Scerevisiae	949_188276	h	Scerevisiae	3043_52437	h	1
Ndairenensis	949_188266	h	Ndairenensis	3043_52425	h	1
Knaganishii	949_188258	h	Knaganishii	3043_52414	h	1
Kafricana	949_188257	h	Kafricana	3043_52413	h	1
Ndairenensis	1107_123902	h	Ndairenensis	1109_658	t	1
Cglabrata	1107_123890	h	Cglabrata	1109_638	t	1
Scerevisiae	1107_123881	h	Scerevisiae	1109_651	t	1
Cglabrata	3968_9386	t	Cglabrata	3970_63939	t	1
Knaganishii	1803_96444	h	Knaganishii	2208_220090	h	1
Kafricana	2293_219412	h	Kafricana	2295_9130	h	1
Knaganishii	357_43756	t	Knaganishii	4187_3629	h	1
Kafricana	357_43755	t	Kafricana	4187_3597	h	1
Scerevisiae	3577_127608	h	Scerevisiae	3578_122269	t	1
Cglabrata	3577_127607	h	Cglabrata	3578_122268	t	1
Ndairenensis	2530_88112	t	Ndairenensis	3658_4924	h	1
Scerevisiae	2530_88104	t	Scerevisiae	3658_4917	h	1
Cglabrata	2530_88102	t	Cglabrata	3658_4884	h	1
Scerevisiae	492_76583	h	Scerevisiae	803_100008	t	1
Ndairenensis	492_76573	h	Ndairenensis	803_100015	t	1
Kafricana	492_76566	h	Kafricana	803_100011	t	1
Knaganishii	492_76520	h	Knaganishii	803_100012	t	1
Cglabrata	1801_184140	h	Cglabrata	3680_8894	h	1
Scerevisiae	2976_213409	h	Scerevisiae	4251_81951	t	1
Knaganishii	2976_213399	h	Knaganishii	4251_81918	t	1
Kafricana	2976_213398	h	Kafricana	4251_81941	t	1
Cglabrata	2976_213394	h	Cglabrata	4251_81913	t	1
Ndairenensis	2976_213382	h	Ndairenensis	4251_81944	t	1
Knaganishii	746_186092	h	Knaganishii	3428_226833	h	1
Kafricana	746_186091	h	Kafricana	3428_226864	h	1
Cglabrata	746_186087	h	Cglabrata	3428_226828	h	1
Knaganishii	901_201660	h	Knaganishii	3184_74101	h	1
Kafricana	901_201659	h	Kafricana	3184_74100	h	1
Scerevisiae	3970_63940	h	Scerevisiae	3971_189557	t	1
Cglabrata	3970_63939	h	Cglabrata	3971_189568	t	1
Cglabrata	137_155142	t	Cglabrata	138_49442	t	1
Ndairenensis	137_155133	t	Ndairenensis	138_49430	t	1
Knaganishii	137_155130	t	Knaganishii	138_49427	t	1
Kafricana	137_155129	t	Kafricana	138_49426	t	1
node_10	137_155128	t	node_10	138_49425	t	1
node_9	137_155127	t	node_9	138_49424	t	1
Scerevisiae	137_155126	t	Scerevisiae	138_49423	t	1
Ndairenensis	2962_12942	t	Ndairenensis	3844_133101	t	1
Kafricana	2962_12938	t	Kafricana	3844_133098	t	1
Cglabrata	2962_12935	t	Cglabrata	3844_133092	t	1
Knaganishii	2669_133614	h	Knaganishii	2670_86117	t	1
Kafricana	2669_133613	h	Kafricana	2670_86126	t	1
Scerevisiae	2669_133610	h	Scerevisiae	2670_86110	t	1
Cglabrata	2669_133609	h	Cglabrata	2670_86147	t	1
Kafricana	1659_21446	h	Kafricana	3405_234843	t	1
Cglabrata	1659_21443	h	Cglabrata	3405_234837	t	1
Knaganishii	2390_223524	h	Knaganishii	2391_154254	h	1
Ndairenensis	2390_223504	h	Ndairenensis	2391_154268	h	1
Kafricana	2390_223501	h	Kafricana	2391_154265	h	1
Scerevisiae	2390_223497	h	Scerevisiae	2391_154287	h	1
Cglabrata	2390_223496	h	Cglabrata	2391_154249	h	1
Scerevisiae	4846_120700	t	Scerevisiae	4847_97943	h	1
Cglabrata	4846_120683	t	Cglabrata	4847_97950	h	1
Knaganishii	3620_217240	h	Knaganishii	3621_93199	t	1
Kafricana	3620_217221	h	Kafricana	3621_93182	t	1
Scerevisiae	3620_217216	h	Scerevisiae	3621_93171	t	1
Ndairenensis	3620_217193	h	Ndairenensis	3621_93185	t	1
Ndairenensis	519_86631	h	Ndairenensis	520_208153	h	1
