CAGL0I08943g CAGL0I08965g
Ecym_2746 Ecym_2747
AEL016C AEL017W
KAFR0A00980 KAFR0A00970
KAFR0C04410 KAFR0C04400
KLLA0A08338g KLLA0A08360g
KNAG0C02030 KNAG0C02040
KNAG0I01590 KNAG0I01580
SAKL0D09680g SAKL0D09702g
KLTH0H12958g KLTH0H12980g
NCAS0A08980 NCAS0A08990
NCAS0B07240 NCAS0B07250
NDAI0B04570 NDAI0B04580
NDAI0G05970 NDAI0G05960
YFR023W YFR024C-A
YHR015W YHR016C
TBLA0D04940 TBLA0D04950
TBLA0F03500 TBLA0F03490
TDEL0D02250 TDEL0D02240
TPHA0A02220 TPHA0A02210
TPHA0O01260 TPHA0O01280
ZYRO0G00814g ZYRO0G00792g
