ADL077C ADL076W
KAFR0L00860 KAFR0L00870
KLLA0C08349g KLLA0C08327g
KNAG0L01450 KNAG0L01460
SAKL0F08558g SAKL0F08580g
KLTH0A04224g KLTH0A04246g
NCAS0E03240 NCAS0E03230
NDAI0E04750 NDAI0E04760
YER057C YER058W
TBLA0D04090 TBLA0D04080
TDEL0H02060 TDEL0H02050
TPHA0K00920 TPHA0K00910
ZYRO0C08074g ZYRO0C08096g
