> TPHA0K01670 TPHA0K01660 54655 218502
> CAGL0A00187g CAGL0A00209g 54652 218511
> TDEL0F02500 TDEL0F02490 54646 218490
> ZYRO0G09856g ZYRO0G09878g 54645 218489
> TBLA0A08990 TBLA0A09010 54642 218503
> NDAI0D03650 NDAI0D03640 54639 218500
> NCAS0A01730 NCAS0A01720 54638 218499
> YGL023C YGL022W 54634 218512
> KNAG0D03270 KNAG0D03280 54630 218497
> KAFR0F03170 KAFR0F03180 54629 218496
> AFR490C AFR491W 54617 218485
> Ecym_1434 Ecym_1435 54616 218484
> SAKL0H21582g SAKL0H21604g 54613 218476
> KLTH0E07480g KLTH0E07502g 54612 218480

	218512 218511 218510 218509 218508 218507 218506 218505 218504 218503 218502 218501 218500 218499 218498 218497 218496 218495 218494 218493 218492 218491 218490 218489 218488 218487 218486 218485 218484 218483 218482 218481 218480 218479 218478 218477 218476 218475 218474 218473 218472 218471 218470 218469 218468 218467 218466 218465 218464 
54655	0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54654	0 0 0 0 0 0 0 0 0 0.9999364389 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54653	0 0 0 0 0 0.5998856782 0 0 0 0 0 0.9999818351 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54652	0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54651	0.8665982915 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54650	0 0 0.8666315801 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9998728893 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54649	0 0 0 0.7332419839 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9998728893 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54648	0 0 0 0 0.7332631632 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999182797 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54647	0 0 0 0 0 0 0.5998947482 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999636743 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54646	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54645	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54644	0 0 0 0 0 0 0 0.4665293733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999999975 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54643	0 0 0 0 0 0 0 0 0.466526334 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999455176 0.0002873204616 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54642	0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54641	0 0 0 0 0 0 0 0 0 0 0.9999122303 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54640	0 0 0 0 0 0.7331004542 0 0 0 0 0 0.9999576243 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54639	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54638	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
54637	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.9999909198 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
