CAGL0B00220g CAGL0B00242g
CAGL0B01232g CAGL0B01243g
CAGL0B02761g CAGL0B02772g
Cgla_YGOB_ABC1 CAGL0F07161g
CAGL0G07183g2 CAGL0G07183g1
CAGL0G09218g CAGL0G09229g
Cgla_YGOB_SNA2 CAGL0H01611g
Cgla_YGOB_H10472 CAGL0H10472g
CAGL0I06710g CAGL0I06721g
CAGL0J03780g Cgla_YGOB_J03780g
Cgla_YGOB_K07414 CAGL0K07414g
CAGL0M02002g CAGL0M02013g
CAGL0M06435g Cgla_YGOB_M06435
Cgla_YGOB_OAZ1 CAGL0M07403g
CAGL0M09636g CAGL0M09647g
Ecym_YGOB_RNH203 Ecym_1116
Ecym_2073 Ecym_2074
Ecym_2379 Ecym_2380
Ecym_2383 Ecym_2384
Ecym_2419 Ecym_2420
Ecym_2702 Ecym_2703
Ecym_3220 Ecym_3221
Ecym_3465 Ecym_3466
Ecym_4187 Ecym_4188
Ecym_4570 Ecym_4571
Ecym_5146 Ecym_5147
Ecym_5514 Ecym_5515
Ecym_6027 Ecym_6028
Ecym_6219 Ecym_6220
Ecym_6428 Ecym_6429
Ecym_7308 Ecym_7309
Ecym_7347 Ecym_7348
Ecym_8183 Ecym_8184
AAL098W AAL097C
AAL094W AAL093C
AAL038W AAL037C
AAR005W AAR006W
AAR088W AAR089C
AAR175C AAR176C
AAR188W AAR189C
ABL147W ABL146C
ABL083W ABL082C
ABL009W ABL008C
ABR030W ABR031C
ABR190C ABR191C
ACL074W Agos_YGOB_ACL074W
ACL028W ACL027C
ACR051C ACR052W
Agos_YGOB_ACR130W ACR130W
ACR137W ACR138W
ACR185W ACR186W
ADL339W ADL338C
ADL324W ADL323C
ADL162W ADL161C
ADL130W ADL129W
AEL311W AEL310C
AEL139W AEL138C
Agos_YGOB_AER187W-A Agos_YGOB_AER178W-A
AER241W AER242C
AER277W AER278W
AER287W AER288C
AFL033W AFL032C
AFR019W AFR020W
AFR186W AFR187C
AFR238W AFR239W
AFR287W AFR288C
AFR288C AFR289W
AFR426C AFR427W
Agos_YGOB_AFR452C AFR452C
AFR476W Agos_YGOB_Anc_4.83
AFR494W AFR495C
AFR614W AFR615W
AFR643WA Agos_YGOB_RNH203
Agos_YGOB_RNH203 AFR644C
AGL284C AGL283W
AGL266C Agos_YGOB_OAZ1
Agos_YGOB_OAZ1 AGL265W
AGL187W AGL186C
AGL135W AGL134C
AGL109W AGL108C
AGR017W AGR018C
AGR062C AGR063W
AGR108C AGR109W
AGR217C AGR218C
AGR220C AGR221W
AGR349W AGR350C
KAFR0A01790 KAFR0A01800
KAFR0A02200 KAFR0A02210
KAFR0A05810 KAFR0A05820
KAFR0B06160 KAFR0B06165
KAFR0C03970 KAFR0C03980
KAFR0D03720 KAFR0D03730
KAFR0E01350 KAFR0E01360
KAFR0F01490 KAFR0F01495
KAFR0I02300 KAFR0I02310
KAFR0J01730 KAFR0J01740
KLLA0A08129g KLLA0A08140g
KLLA0A11033g KLLA0A11044g
Klac_YGOB_Anc_6.216a Klac_YGOB_Anc_6.216
KLLA0B04609g KLLA0B04620g
KLLA0B06545g KLLA0B06556g
Klac_YGOB_KLLA0B09284g KLLA0B09284g
KLLA0B09394g KLLA0B09405g
Klac_YGOB_OAZ1 KLLA0B10032g
KLLA0B10142g KLLA0B10153g
KLLA0B10395g KLLA0B10406g
KLLA0B11000g KLLA0B11011g
Klac_YGOB_Anc_7.168b Klac_YGOB_Anc_7.168
Klac_YGOB_Anc_2.436 Klac_YGOB_Anc_2.436b
KLLA0B13134g KLLA0B13145g
KLLA0C01177g KLLA0C01188g
KLLA0C07348g KLLA0C07359g
KLLA0C08437g KLLA0C08448g
KLLA0C09933g KLLA0C09944g
Klac_YGOB_Anc_5.18b Klac_YGOB_Anc_5.18
KLLA0C17930g KLLA0C17941g
KLLA0D01947g KLLA0D01958g
KLLA0D03740g KLLA0D03751g
KLLA0D08503g KLLA0D08514g
KLLA0D15125g KLLA0D15136g
KLLA0D18161g KLLA0D18172g
Klac_YGOB_Anc_2.39b Klac_YGOB_Anc_2.39
KLLA0E03323g KLLA0E03345g
KLLA0E03939g KLLA0E03961g
KLLA0E07327g KLLA0E07349g
KLLA0E07657g KLLA0E07679g
KLLA0E07767g KLLA0E07789g
Klac_YGOB_Anc_5.131 KLLA0E16501g
KLLA0E18063g KLLA0E18085g
KLLA0E24245g Klac_YGOB_Anc_8.576
KLLA0F01408g KLLA0F01419g
KLLA0F08657g Klac_YGOB_F08657
KLLA0F08877g Klac_YGOB_18260
KLLA0F09757g KLLA0F09768g
KLLA0F11022g KLLA0F11033g
KLLA0F11385g Klac_YGOB_F11386g
Klac_YGOB_F11386g KLLA0F11396g
KLLA0F12023g KLLA0F12034g
KLLA0F15796g KLLA0F15807g
KLLA0F17182g KLLA0F17198g
KLLA0F19085g KLLA0F19096g
KLLA0F19910g KLLA0F19921g
KLLA0F23573g KLLA0F23584g
KLLA0F24882g Klac_YGOB_Anc_8.775
KLLA0F26422g KLLA0F26433g
KNAG0A01700 KNAG0A01710
KNAG0A07850 KNAG0A07860
KNAG0B01510 KNAG0B01520
KNAG0B04740 KNAG0B04750
KNAG0C03120 KNAG0C03130
KNAG0C05510 KNAG0C05520
KNAG0D03260 KNAG0D03270
KNAG0E00550 KNAG0E00560
KNAG0H03260 KNAG0H03270
KNAG0I00560 KNAG0I00570
KNAG0J01800 KNAG0J01810
KNAG0L01070 KNAG0L01080
KNAG0L01080 KNAG0L01090
KNAG0M01370 KNAG0M01380
Sklu_YGOB_BUD27 Sklu_YGOB_Anc_8.48
SAKL0B05016g SAKL0B05038g
Sklu_YGOB_B05918 SAKL0B05918g
SAKL0B07480g Sklu_YGOB_Anc_3.346
SAKL0B07832g SAKL0B07854g
SAKL0B11000g SAKL0B11022g
SAKL0B11583g1 SAKL0B11583g2
Sklu_YGOB_Anc_1.170 Sklu_YGOB_Anc_1.170b
SAKL0C11913g1 SAKL0C11913g2
SAKL0D00484g Sklu_YGOB_Anc_8.869
SAKL0D03938g SAKL0D03960g
SAKL0D04444g SAKL0D04455g
Sklu_YGOB_Anc_1.333 Sklu_YGOB_Anc_1.333b
SAKL0D07722g SAKL0D07744g
Sklu_YGOB_Anc_1.500 Sklu_YGOB_Anc_1.500b
Sklu_YGOB_Anc_6.20b Sklu_YGOB_Anc_6.20
SAKL0E03124g SAKL0E03146g
SAKL0E03454g SAKL0E03476g
SAKL0E13046g SAKL0E13068g
SAKL0F03916g SAKL0F03938g
Sklu_YGOB_Anc_7.128 Sklu_YGOB_EST3
SAKL0F06809g1 SAKL0F06809g2
SAKL0F16654g SAKL0F16676g
SAKL0G06182g SAKL0G06204g
SAKL0G08866g SAKL0G08888g
SAKL0G09218g SAKL0G09240g
Sklu_YGOB_Anc_5.171b Sklu_YGOB_Anc_5.171
Sklu_YGOB_Anc_5.131 Sklu_YGOB_Anc_5.131b
SAKL0G17666g SAKL0G17688g
SAKL0H06094g SAKL0H06116g
Sklu_YGOB_09658g SAKL0H09658g
Sklu_YGOB_H11022 SAKL0H11022g
SAKL0H13398g SAKL0H13420g
SAKL0H14080g SAKL0H14102g
SAKL0H15774g SAKL0H15796g
SAKL0H22726g SAKL0H22748g
SAKL0H23232g SAKL0H23254g
SAKL0H24772g SAKL0H24794g
SAKL0H26070g SAKL0H26092g
KLTH0A01474g KLTH0A01496g
Kthe_YGOB_Anc_6.324b Kthe_YGOB_Anc_6.324
KLTH0B01034g KLTH0B01056g
Kthe_YGOB_REC107 Kthe_YGOB_Anc_5.131b
Kthe_YGOB_Anc_5.131b Kthe_YGOB_Anc_5.131
KLTH0B07194g KLTH0B07216g
KLTH0B07480g KLTH0B07502g
KLTH0B08228g KLTH0B08250g
KLTH0C02706g KLTH0C02728g
KLTH0C04202g KLTH0C04224g
Kthe_YGOB_Kwal_26.6893 Kthe_YGOB_6893
KLTH0D01408g KLTH0D01430g
KLTH0D05434g KLTH0D05456g
KLTH0D05588g KLTH0D05610g
KLTH0D10428g KLTH0D10450g
KLTH0D10868g KLTH0D10890g
KLTH0D11638g KLTH0D11660g
KLTH0D17380g KLTH0D17402g
Kthe_YGOB_Anc_4.132 KLTH0E08448g
KLTH0E08888g Kthe_YGOB_Anc_4.153
