CAGL0B02882g CAGL0B02904g
CAGL0B02904g CAGL0B02926g
CAGL0B02926g CAGL0B02948g
CAGL0B02948g CAGL0B02970g
CAGL0C00110g CAGL0C00209g
CAGL0C01837g CAGL0C01859g
CAGL0C03916g CAGL0C03938g
CAGL0C03938g CAGL0C03960g
CAGL0C03960g CAGL0C03982g
CAGL0C03982g CAGL0C04004g
CAGL0C04004g CAGL0C04026g
CAGL0C04026g CAGL0C04048g
CAGL0E00187g CAGL0E00231g
CAGL0E01749g CAGL0E01771g
CAGL0E01771g CAGL0E01793g
CAGL0E01793g CAGL0E01815g
CAGL0E01815g CAGL0E01837g
CAGL0E01837g CAGL0E01859g
CAGL0E05170g CAGL0E05192g
CAGL0E05192g CAGL0E05214g
CAGL0E05214g CAGL0E05236g
CAGL0E06666g CAGL0E06688g
CAGL0G07183g2 CAGL0G07183g1
CAGL0H06017g CAGL0H06039g
CAGL0H09240g CAGL0H09262g
CAGL0I00220g CAGL0I00242g
CAGL0I02024g CAGL0I02046g
CAGL0I10098g CAGL0I10147g
CAGL0J01727g CAGL0J01774g
CAGL0J01774g CAGL0J01800g
CAGL0J02508g CAGL0J02530g
CAGL0J02530g CAGL0J02552g
CAGL0L00157g CAGL0L00227g
CAGL0L01023g CAGL0L01045g
CAGL0L04832g CAGL0L04836g
CAGL0L07568g CAGL0L07590g
CAGL0L12496g CAGL0L12518g
Ecym_2739 Ecym_2740
Ecym_6120 Ecym_6121
Ecym_8387 Ecym_8388
ABL210C ABL209C
ABR027C ABR028C
ADL399C ADL398C
ADL398C ADL397C
ADL395C ADL394C
AER452C AER453C
AER453C AER454C
AFL234C AFL233C
AGL366C AGL365C
AGL365C AGL364C
AGL364C AGL363C
AGR328C AGR329C
KAFR0A03050 KAFR0A03060
KAFR0A08710 KAFR0A08720
KAFR0A08720 KAFR0A08730
KAFR0B00113 KAFR0B00115
KAFR0B00115 KAFR0B00117
KAFR0B00160 KAFR0B00163
KAFR0B00163 KAFR0B00166
KAFR0B00166 KAFR0B00180
KAFR0B00210 KAFR0B00220
KAFR0B06410 KAFR0B06420
KAFR0B06420 KAFR0B06430
KAFR0B06700 KAFR0B06710
KAFR0B07035 KAFR0B07040
KAFR0B07060 KAFR0B07070
KAFR0B07070 KAFR0B07080
KAFR0C00130 KAFR0C00140
KAFR0C01510 KAFR0C01520
KAFR0C02680 KAFR0C02690
KAFR0C02690 KAFR0C02700
KAFR0C03660 KAFR0C03670
KAFR0C06253 KAFR0C06256
KAFR0C06256 KAFR0C06258
KAFR0C06258 KAFR0C06260
KAFR0C06260 KAFR0C06263
KAFR0C06263 KAFR0C06275
KAFR0C06590 KAFR0C06595
KAFR0D00730 KAFR0D00740
KAFR0D00740 KAFR0D00750
KAFR0D00750 KAFR0D00760
KAFR0D00800 KAFR0D00810
KAFR0D02050 KAFR0D02060
KAFR0D02490 KAFR0D02500
KAFR0E00140 KAFR0E00150
KAFR0E01510 KAFR0E01520
KAFR0E03460 KAFR0E03480
KAFR0E04400 KAFR0E04410
KAFR0F00125 KAFR0F00127
KAFR0F04440 KAFR0F04445
KAFR0F04445 KAFR0F04447
KAFR0G00610 KAFR0G00620
KAFR0G02720 KAFR0G02730
KAFR0G03810 KAFR0G03820
KAFR0I02955 KAFR0I02960
KAFR0I02960 KAFR0I02970
KAFR0J02970 KAFR0J02980
KAFR0K00150 KAFR0K00160
KAFR0L00150 KAFR0L00160
KAFR0L00160 KAFR0L00170
KLLA0A00176g KLLA0A00198g
KLLA0A04433g KLLA0A04499g
KLLA0A04499g KLLA0A04521g
KLLA0A04521g KLLA0A04543g
KLLA0A04543g KLLA0A04565g
KLLA0A04609g KLLA0A04620g
KLLA0A10351g KLLA0A10373g
KLLA0A10373g KLLA0A10395g
KLLA0A12045g KLLA0A12067g
KLLA0B00220g KLLA0B00242g
KLLA0B00286g KLLA0B00308g
KLLA0B00451g KLLA0B00473g
Klac_YGOB_Anc_6.216a Klac_YGOB_Anc_6.216
KLLA0B10395g KLLA0B10406g
KLLA0B10406g KLLA0B10428g
KLLA0B14597g KLLA0B14619g
KLLA0B14619g KLLA0B14685g
KLLA0B14685g KLLA0B14707g
KLLA0B14707g KLLA0B14729g
KLLA0B14729g KLLA0B14751g
KLLA0B14751g KLLA0B14773g
KLLA0C19041g KLLA0C19063g
KLLA0C19063g KLLA0C19085g
KLLA0D00209g KLLA0D00231g
KLLA0D00258g KLLA0D00264g
KLLA0D00264g KLLA0D00269g
KLLA0D00269g KLLA0D00275g
KLLA0D00275g KLLA0D00330g
KLLA0D00330g KLLA0D00352g
KLLA0D00550g KLLA0D00572g
KLLA0D11286g KLLA0D11308g
KLLA0D19933g KLLA0D19941g
KLLA0D19949g KLLA0D19953g
KLLA0D20009g KLLA0D20031g
KLLA0E04577g KLLA0E04599g
KLLA0E09857g KLLA0E09879g
KLLA0E14433g KLLA0E14477g
KLLA0E14543g KLLA0E14587g
KLLA0E18393g KLLA0E18415g
KLLA0E24993g KLLA0E25015g
KLLA0F22319g KLLA0F22341g
KLLA0F28083g KLLA0F28105g
KNAG0A00100 KNAG0A01140
KNAG0B00100 KNAG0B00105
KNAG0B05205 KNAG0B05210
KNAG0B06850 KNAG0B06860
KNAG0C00100 KNAG0C00120
KNAG0C00120 KNAG0C00130
KNAG0C00130 KNAG0C00140
KNAG0C04750 KNAG0C04760
KNAG0C06675 KNAG0C06680
KNAG0E03160 KNAG0E03170
KNAG0G00420 KNAG0G00430
KNAG0G00960 KNAG0G00963
KNAG0G00963 KNAG0G00966
KNAG0G02850 KNAG0G02855
KNAG0I00100 KNAG0I00110
KNAG0J01130 KNAG0J01140
KNAG0J01140 KNAG0J01150
KNAG0J01330 KNAG0J01340
KNAG0K00770 KNAG0K00780
KNAG0L00680 KNAG0L00690
KNAG0M00100 KNAG0M00110
KNAG0M00110 KNAG0M00120
KNAG0M00120 KNAG0M00130
KNAG0M01510 KNAG0M01520
KNAG0M01520 KNAG0M01530
KNAG0M02650 KNAG0M02660
SAKL0A00132g SAKL0A00154g
SAKL0A02200g SAKL0A02222g
SAKL0A07480g SAKL0A07502g
SAKL0A10516g SAKL0A10538g
SAKL0A10582g SAKL0A10604g
SAKL0A10604g SAKL0A10626g
SAKL0B00132g SAKL0B00154g
SAKL0B00154g SAKL0B00176g
SAKL0B00176g SAKL0B00198g
SAKL0B04048g SAKL0B04070g
SAKL0B12540g SAKL0B12562g
SAKL0B12628g SAKL0B12650g
SAKL0B12650g SAKL0B12672g
SAKL0B12672g SAKL0B12694g
SAKL0B12804g SAKL0B12826g
SAKL0C00110g SAKL0C00154g
SAKL0C00264g SAKL0C00308g
SAKL0C00308g SAKL0C00330g
SAKL0C00330g SAKL0C00352g
SAKL0C02024g SAKL0C02046g
SAKL0C02046g SAKL0C02068g
SAKL0C02068g SAKL0C02090g
SAKL0C02090g SAKL0C02112g
SAKL0C02156g SAKL0C02178g
SAKL0C02508g SAKL0C02530g
SAKL0C02684g SAKL0C02706g
SAKL0C03102g SAKL0C03124g
SAKL0C05632g SAKL0C05654g
SAKL0C11638g SAKL0C11660g
SAKL0C11913g1 SAKL0C11913g2
SAKL0D00132g SAKL0D00176g
SAKL0D00176g SAKL0D00198g
SAKL0D00198g SAKL0D00220g
SAKL0D00836g SAKL0D00858g
SAKL0D00858g SAKL0D00880g
SAKL0D13750g SAKL0D13772g
SAKL0D15026g SAKL0D15070g
SAKL0D15070g SAKL0D15092g
SAKL0D15180g SAKL0D15202g
SAKL0E00242g SAKL0E00264g
SAKL0E00264g SAKL0E00286g
SAKL0E00286g SAKL0E00396g
SAKL0E00396g SAKL0E00528g
SAKL0E00528g SAKL0E00616g
SAKL0E02618g SAKL0E02640g
SAKL0E02640g SAKL0E02662g
SAKL0F00176g SAKL0F00198g
SAKL0F00330g SAKL0F00352g
SAKL0F00352g SAKL0F00374g
SAKL0F16346g SAKL0F16412g
SAKL0G08998g SAKL0G09064g
SAKL0G17204g SAKL0G17226g
SAKL0G19866g SAKL0G19888g
SAKL0H00286g SAKL0H00330g
SAKL0H00660g SAKL0H00682g
SAKL0H21340g SAKL0H21362g
KLTH0A00110g KLTH0A00220g
KLTH0A00506g KLTH0A00528g
KLTH0A00528g KLTH0A00550g
KLTH0A00550g KLTH0A00572g
KLTH0A03476g KLTH0A03498g
KLTH0A07810g KLTH0A07832g
KLTH0A07832g KLTH0A07964g
KLTH0A07964g KLTH0A07986g
KLTH0B00352g KLTH0B00374g
KLTH0B00374g KLTH0B00396g
KLTH0B00462g KLTH0B00484g
KLTH0B00484g KLTH0B00506g
KLTH0B00550g KLTH0B00572g
KLTH0B00616g KLTH0B00704g
KLTH0B00704g KLTH0B00770g
KLTH0B10098g KLTH0B10142g
KLTH0B10142g KLTH0B10164g
KLTH0C00374g KLTH0C00396g
KLTH0C00440g KLTH0C00462g
KLTH0C09702g KLTH0C09724g
KLTH0D00132g KLTH0D00198g
KLTH0D00198g KLTH0D00220g
KLTH0D00220g KLTH0D00242g
KLTH0D00242g KLTH0D00264g
KLTH0D00264g KLTH0D00308g
KLTH0D00308g KLTH0D00374g
KLTH0D00418g KLTH0D00440g
KLTH0D00440g KLTH0D00484g
Kthe_YGOB_Kwal_26.6893 Kthe_YGOB_6893
KLTH0D16984g KLTH0D17006g
KLTH0D17006g KLTH0D17050g
KLTH0E00198g KLTH0E00220g
KLTH0E00220g KLTH0E00242g
KLTH0E00242g KLTH0E00264g
KLTH0E00308g KLTH0E00330g
KLTH0E03168g KLTH0E03212g
KLTH0E03212g KLTH0E03234g
KLTH0E03234g KLTH0E03256g
KLTH0E03256g KLTH0E03278g
KLTH0E03278g KLTH0E03344g
KLTH0E16588g KLTH0E16610g
KLTH0E16610g KLTH0E16632g
KLTH0E16632g KLTH0E16654g
KLTH0E16852g KLTH0E16874g
KLTH0E16874g KLTH0E16984g
KLTH0F00110g KLTH0F00132g
KLTH0F00132g KLTH0F00176g
KLTH0F04796g KLTH0F04818g
KLTH0G00396g KLTH0G00418g
KLTH0G03432g KLTH0G03454g
KLTH0G11968g KLTH0G11990g
KLTH0G11990g KLTH0G12034g
KLTH0G12034g KLTH0G12056g
KLTH0G12056g KLTH0G12078g
KLTH0G18392g KLTH0G18414g
KLTH0G18414g KLTH0G18436g
KLTH0G18436g KLTH0G18458g
KLTH0H00132g KLTH0H00154g
KLTH0H16148g KLTH0H16170g
KLTH0H16170g KLTH0H16192g
KLTH0H16192g KLTH0H16214g
NCAS0A00100 NCAS0A00110
NCAS0A00110 NCAS0A00120
NCAS0A05090 NCAS0A05100
NCAS0A05290 NCAS0A05300
NCAS0A05300 NCAS0A05310
NCAS0A06950 NCAS0A06960
NCAS0A07210 NCAS0A07220
NCAS0A07220 NCAS0A07230
NCAS0A09620 NCAS0A09630
NCAS0B00350 NCAS0B00360
NCAS0B03270 NCAS0B03280
NCAS0B05650 NCAS0B05660
NCAS0C00100 NCAS0C00110
NCAS0C03000 NCAS0C03010
NCAS0C03010 NCAS0C03020
NCAS0D00100 NCAS0D00110
NCAS0D00110 NCAS0D00120
NCAS0D02410 NCAS0D02420
NCAS0D04950 NCAS0D04960
NCAS0E00100 NCAS0E00110
NCAS0E00110 NCAS0E00120
