CAGL0I03960g Cgla_YGOB_Anc_7.299
Ecym_8050 Ecym_8049
ADR102W ADR103C
KAFR0B01130 KAFR0B01145
KLLA0F05401g Klac_YGOB_Anc_7.299
SAKL0F10120g Sklu_YGOB_Anc_7.299
KLTH0H02398g Kthe_YGOB_Anc_7.299
NCAS0A13840 NCAS0A13830
NDAI0A02200 NDAI0A02210
YDL185W YDL184C
TPHA0A03200 TPHA0A03205
ZYRO0C09504g Zrou_YGOB_Anc_7.299
