CAGL0A00165g CAGL0A00187g
CAGL0A00187g CAGL0A00209g
CAGL0A00209g CAGL0A00231g
CAGL0A00231g CAGL0A00253g
CAGL0A00253g CAGL0A00275g
CAGL0A00275g CAGL0A00297g
CAGL0A00297g CAGL0A00319g
CAGL0A00319g CAGL0A00341g
CAGL0A00341g CAGL0A00363g
CAGL0A00363g CAGL0A00385g
CAGL0A00385g CAGL0A00407g
CAGL0A00407g CAGL0A00429g
CAGL0A00429g CAGL0A00451g
CAGL0A00451g CAGL0A00473g
CAGL0A00473g CAGL0A00495g
CAGL0A00495g CAGL0A00517g
CAGL0A00517g CAGL0A00539g
CAGL0A00539g CAGL0A00561g
CAGL0A00561g CAGL0A00583g
CAGL0A00583g CAGL0A00605g
CAGL0A00605g CAGL0A00627g
CAGL0A00627g CAGL0A00649g
CAGL0A00649g CAGL0A00715g
CAGL0A00715g CAGL0A00737g
CAGL0A00737g CAGL0A00781g
CAGL0A00781g CAGL0A00803g
CAGL0A00803g CAGL0A00825g
CAGL0A00825g CAGL0A00847g
CAGL0A00847g CAGL0A00869g
CAGL0A00869g CAGL0A00891g
CAGL0A00891g CAGL0A00913g
CAGL0A00913g CAGL0A00935g
CAGL0A00935g CAGL0A00957g
CAGL0A00957g CAGL0A00979g
CAGL0A00979g CAGL0A01001g
CAGL0A01001g CAGL0A01023g
CAGL0A01023g CAGL0A01045g
CAGL0A01045g CAGL0A01067g
CAGL0A01067g CAGL0A01089g
CAGL0A01089g CAGL0A01111g
CAGL0A01111g CAGL0A01133g
CAGL0A01133g CAGL0A01155g
CAGL0A01155g CAGL0A01177g
CAGL0A01177g CAGL0A01193g
CAGL0A01193g CAGL0A01199g
CAGL0A01199g CAGL0A01221g
CAGL0A01221g CAGL0A01243g
CAGL0A01243g CAGL0A01284g
CAGL0A01284g CAGL0A01325g
CAGL0A01325g CAGL0A01366g
CAGL0A01366g CAGL0A01408g
CAGL0A01408g CAGL0A01430g
CAGL0A01430g CAGL0A01452g
CAGL0A01452g CAGL0A01474g
CAGL0A01474g CAGL0A01540g
CAGL0A01540g CAGL0A01562g
CAGL0A01562g CAGL0A01584g
CAGL0A01584g CAGL0A01606g
CAGL0A01606g CAGL0A01628g
CAGL0A01628g CAGL0A01650g
CAGL0A01650g CAGL0A01672g
CAGL0A01672g CAGL0A01694g
CAGL0A01694g CAGL0A01716g
CAGL0A01716g CAGL0A01738g
CAGL0A01738g CAGL0A01760g
CAGL0A01760g CAGL0A01782g
CAGL0A01782g CAGL0A01804g
CAGL0A01804g CAGL0A01826g
CAGL0A01826g CAGL0A01848g
CAGL0A01848g CAGL0A01870g
CAGL0A01870g CAGL0A01892g
CAGL0A01892g CAGL0A01914g
CAGL0A01914g CAGL0A01958g
CAGL0A01958g CAGL0A01980g
CAGL0A01980g CAGL0A02002g
CAGL0A02002g CAGL0A02024g
CAGL0A02024g CAGL0A02046g
CAGL0A02046g CAGL0A02090g
CAGL0A02090g CAGL0A02112g
CAGL0A02112g CAGL0A02134g
CAGL0A02134g CAGL0A02145g
CAGL0A02145g CAGL0A02189g
CAGL0A02189g CAGL0A02211g
CAGL0A02211g CAGL0A02233g
CAGL0A02233g CAGL0A02255g
CAGL0A02255g CAGL0A02277g
CAGL0A02277g CAGL0A02299g
CAGL0A02299g CAGL0A02321g
CAGL0A02321g CAGL0A02343g
CAGL0A02343g CAGL0A02365g
CAGL0A02365g CAGL0A02387g
CAGL0A02387g CAGL0A02409g
CAGL0A02409g CAGL0A02431g
CAGL0A02431g CAGL0A02475g
CAGL0A02475g CAGL0A02486g
CAGL0A02486g CAGL0A02508g
CAGL0A02508g CAGL0A02530g
CAGL0A02530g CAGL0A02552g
CAGL0A02552g CAGL0A02574g
CAGL0A02574g CAGL0A02596g
CAGL0A02596g CAGL0A02618g
CAGL0A02618g CAGL0A02629g
CAGL0A02629g CAGL0A02651g
CAGL0A02651g CAGL0A02673g
CAGL0A02673g CAGL0A02695g
CAGL0A02695g CAGL0A02706g
CAGL0A02706g CAGL0A02728g
CAGL0A02728g CAGL0A02750g
CAGL0A02750g CAGL0A02772g
CAGL0A02772g CAGL0A02794g
CAGL0A02794g CAGL0A02816g
CAGL0A02816g CAGL0A02838g
CAGL0A02838g CAGL0A02860g
CAGL0A02860g CAGL0A02882g
CAGL0A02882g CAGL0A02904g
CAGL0A02904g CAGL0A02926g
CAGL0A02926g CAGL0A02948g
CAGL0A02948g CAGL0A02970g
CAGL0A02970g Cgla_YGOB_YDR374W-A
Cgla_YGOB_YDR374W-A CAGL0A02992g
CAGL0A02992g CAGL0A03014g
CAGL0A03014g CAGL0A03036g
CAGL0A03036g CAGL0A03051g
CAGL0A03051g CAGL0A03058g
CAGL0A03058g CAGL0A03080g
CAGL0A03080g CAGL0A03102g
CAGL0A03102g CAGL0A03117g
CAGL0A03117g CAGL0A03146g
CAGL0A03146g CAGL0A03168g
CAGL0A03168g CAGL0A03190g
CAGL0A03190g CAGL0A03212g
CAGL0A03212g CAGL0A03234g
CAGL0A03234g CAGL0A03256g
CAGL0A03256g CAGL0A03278g
CAGL0A03278g CAGL0A03300g
CAGL0A03300g CAGL0A03322g
CAGL0A03322g CAGL0A03344g
CAGL0A03344g CAGL0A03366g
CAGL0A03366g CAGL0A03388g
CAGL0A03388g CAGL0A03410g
CAGL0A03410g CAGL0A03432g
CAGL0A03432g CAGL0A03454g
CAGL0A03454g CAGL0A03476g
CAGL0A03476g CAGL0A03498g
CAGL0A03498g CAGL0A03542g
CAGL0A03542g CAGL0A03564g
CAGL0A03564g CAGL0A03586g
CAGL0A03586g CAGL0A03608g
CAGL0A03608g CAGL0A03630g
CAGL0A03630g CAGL0A03652g
CAGL0A03652g CAGL0A03674g
CAGL0A03674g CAGL0A03696g
CAGL0A03696g CAGL0A03718g
CAGL0A03718g CAGL0A03740g
CAGL0A03740g CAGL0A03784g
CAGL0A03784g CAGL0A03806g
CAGL0A03806g CAGL0A03828g
CAGL0A03828g CAGL0A03872g
CAGL0A03872g CAGL0A03883g
CAGL0A03883g CAGL0A03905g
CAGL0A03905g CAGL0A03927g
CAGL0A03927g CAGL0A03949g
CAGL0A03949g CAGL0A03971g
CAGL0A03971g CAGL0A03993g
CAGL0A03993g CAGL0A04015g
CAGL0A04015g CAGL0A04037g
CAGL0A04037g CAGL0A04059g
CAGL0A04059g CAGL0A04081g
CAGL0A04081g CAGL0A04103g
CAGL0A04103g CAGL0A04125g
CAGL0A04125g CAGL0A04147g
CAGL0A04147g CAGL0A04169g
CAGL0A04169g CAGL0A04191g
CAGL0A04191g CAGL0A04213g
CAGL0A04213g CAGL0A04235g
CAGL0A04235g CAGL0A04257g
CAGL0A04257g CAGL0A04279g
CAGL0A04279g CAGL0A04301g
CAGL0A04301g CAGL0A04323g
CAGL0A04323g CAGL0A04345g
CAGL0A04345g CAGL0A04367g
CAGL0A04367g CAGL0A04389g
CAGL0A04389g CAGL0A04411g
CAGL0A04411g CAGL0A04433g
CAGL0A04433g CAGL0A04455g
CAGL0A04455g CAGL0A04477g
CAGL0A04477g CAGL0A04499g
CAGL0A04499g CAGL0A04521g
CAGL0A04521g CAGL0A04543g
CAGL0A04543g CAGL0A04565g
CAGL0A04565g CAGL0A04587g
CAGL0A04587g CAGL0A04631g
CAGL0A04631g CAGL0A04653g
CAGL0A04653g CAGL0A04675g
CAGL0A04675g CAGL0A04697g
CAGL0A04697g CAGL0A04719g
CAGL0A04719g CAGL0A04741g
CAGL0A04741g CAGL0A04785g
CAGL0A04785g CAGL0A04807g
CAGL0A04807g CAGL0A04829g
CAGL0B00220g CAGL0B00242g overlap
CAGL0B00242g CAGL0B00264g
CAGL0B00264g CAGL0B00286g
CAGL0B00286g CAGL0B00308g
CAGL0B00308g CAGL0B00330g
CAGL0B00330g CAGL0B00352g
CAGL0B00352g CAGL0B00374g
CAGL0B00374g CAGL0B00396g
CAGL0B00396g CAGL0B00418g
CAGL0B00418g CAGL0B00440g
CAGL0B00440g CAGL0B00462g
CAGL0B00462g CAGL0B00484g
CAGL0B00484g CAGL0B00506g
CAGL0B00506g CAGL0B00528g
CAGL0B00528g CAGL0B00550g
CAGL0B00550g CAGL0B00572g
CAGL0B00572g CAGL0B00594g
CAGL0B00594g CAGL0B00616g
CAGL0B00616g CAGL0B00638g
CAGL0B00638g CAGL0B00660g
CAGL0B00660g CAGL0B00682g
CAGL0B00682g CAGL0B00704g
CAGL0B00704g CAGL0B00726g
CAGL0B00726g CAGL0B00748g
CAGL0B00748g CAGL0B00770g
CAGL0B00770g CAGL0B00792g
CAGL0B00792g CAGL0B00814g
CAGL0B00814g CAGL0B00836g
CAGL0B00836g CAGL0B00858g
CAGL0B00858g CAGL0B00880g
CAGL0B00880g CAGL0B00902g
CAGL0B00902g CAGL0B00924g
CAGL0B00924g CAGL0B00946g
CAGL0B00946g CAGL0B00968g
CAGL0B00968g CAGL0B00990g
CAGL0B00990g CAGL0B01012g
CAGL0B01012g CAGL0B01078g
CAGL0B01078g CAGL0B01100g
CAGL0B01100g CAGL0B01122g
CAGL0B01122g CAGL0B01144g
CAGL0B01144g CAGL0B01166g
CAGL0B01166g CAGL0B01188g
CAGL0B01188g CAGL0B01203g
CAGL0B01203g CAGL0B01232g
CAGL0B01232g CAGL0B01243g overlap
CAGL0B01243g CAGL0B01265g
CAGL0B01265g CAGL0B01287g
CAGL0B01287g CAGL0B01331g
CAGL0B01331g CAGL0B01353g
CAGL0B01353g CAGL0B01375g
CAGL0B01375g CAGL0B01397g
CAGL0B01397g CAGL0B01419g
CAGL0B01419g CAGL0B01441g
CAGL0B01441g CAGL0B01463g
CAGL0B01463g CAGL0B01485g
CAGL0B01485g CAGL0B01507g
CAGL0B01507g CAGL0B01529g
CAGL0B01529g CAGL0B01551g
CAGL0B01551g CAGL0B01573g
CAGL0B01573g CAGL0B01589g
CAGL0B01589g CAGL0B01595g
CAGL0B01595g CAGL0B01617g
CAGL0B01617g CAGL0B01639g
CAGL0B01639g CAGL0B01683g
CAGL0B01683g CAGL0B01705g
CAGL0B01705g CAGL0B01727g
CAGL0B01727g CAGL0B01771g
CAGL0B01771g CAGL0B01793g
CAGL0B01793g CAGL0B01815g
CAGL0B01815g CAGL0B01837g
CAGL0B01837g CAGL0B01859g
CAGL0B01859g CAGL0B01875g
CAGL0B01875g CAGL0B01881g
CAGL0B01881g CAGL0B01903g
CAGL0B01903g CAGL0B01925g
