CAGL0H10450g Cgla_YGOB_H10472
Ecym_3361 Ecym_3362
ADL292C ADL291W
KAFR0A06840 KAFR0A06850
KLLA0E09153g KLLA0E09131g
KNAG0A05520 KNAG0A05510
SAKL0E06732g SAKL0E06754g
NCAS0B06050 NCAS0B06040
NDAI0B03360 NDAI0B03350
TBLA0B09540 TBLA0B09530
TDEL0G02530 TDEL0G02520
TPHA0G00960 TPHA0G00950
ZYRO0F07986g ZYRO0F08008g
