CAGL0A00649g CAGL0A00715g
CAGL0A00715g CAGL0A00737g
CAGL0A01284g CAGL0A01325g
CAGL0A01325g CAGL0A01366g
CAGL0C00781g CAGL0C00847g
CAGL0C00847g CAGL0C00968g
CAGL0C00968g CAGL0C01133g
CAGL0E06600g CAGL0E06644g
CAGL0F07161g CAGL0F07183g
CAGL0G10175g CAGL0G10219g
CAGL0H04257g CAGL0H04279g
CAGL0I10200g CAGL0I10246g
CAGL0I10340g CAGL0I10362g
CAGL0K07546g CAGL0K07568g
CAGL0K13002g CAGL0K13024g
CAGL0L13299g CAGL0L13332g
CAGL0M14069g CAGL0M14091g
Ecym_3622 Ecym_3623
Ecym_4507 Ecym_4508
Ecym_6314 Ecym_6315
ABR246W ABR247W
ABR247W ABR248W
ABR248W ABR249W
ACL202W ACL201W
ACL201W ACL200W
ACL171W ACL170W
ACL115W ACL114W
ADL051W ADL050W
AGL369W AGL368W
AGL265W AGL264W
KAFR0A00110 KAFR0A00120
KAFR0A08550 KAFR0A08560
KAFR0B00100 KAFR0B00110
KAFR0B00140 KAFR0B00150
KAFR0B00190 KAFR0B00200
KAFR0B02990 KAFR0B03000
KAFR0C01890 KAFR0C01900
KAFR0C03730 KAFR0C03740
KAFR0D00780 KAFR0D00790
KAFR0D05140 KAFR0D05170
KAFR0E00110 KAFR0E00115
KAFR0E00115 KAFR0E00120
KAFR0E00120 KAFR0E00130
KAFR0E04490 KAFR0E04495
KAFR0F00100 KAFR0F00105
KAFR0F00115 KAFR0F00120
KAFR0F03530 KAFR0F03540
KAFR0F03540 KAFR0F03550
KAFR0F04410 KAFR0F04420
KAFR0F04420 KAFR0F04430
KAFR0G00100 KAFR0G00110
KAFR0G02805 KAFR0G02810
KAFR0G02810 KAFR0G02820
KAFR0G03830 KAFR0G03840
KAFR0G03840 KAFR0G03850
KAFR0G03850 KAFR0G03860
KAFR0H03575 KAFR0H03580
KAFR0H03780 KAFR0H03790
KAFR0H03790 KAFR0H03810
KAFR0I00110 KAFR0I00120
KAFR0I02460 KAFR0I02470
KAFR0K00135 KAFR0K00140
KAFR0K00140 KAFR0K00145
KAFR0K02600 KAFR0K02610
KAFR0L00120 KAFR0L00140
KAFR0L02000 KAFR0L02010
KLLA0A00110g KLLA0A00132g
KLLA0A04323g KLLA0A04345g
KLLA0A11913g KLLA0A11935g
KLLA0A11935g KLLA0A11957g
KLLA0B03135g KLLA0B03157g
KLLA0B05269g KLLA0B05379g
KLLA0B14498g KLLA0B14531g
KLLA0B14795g KLLA0B14817g
KLLA0B14883g KLLA0B14916g
KLLA0B14916g KLLA0B14927g
KLLA0C00110g KLLA0C00132g
KLLA0C00176g KLLA0C00190g
KLLA0C00190g KLLA0C00198g
KLLA0C00198g KLLA0C00220g
KLLA0C00220g KLLA0C00242g
KLLA0C00286g KLLA0C00330g
KLLA0C04928g KLLA0C04950g
KLLA0C04950g KLLA0C04994g
KLLA0C18931g KLLA0C18953g
KLLA0C19132g KLLA0C19184g
KLLA0C19184g KLLA0C19206g
KLLA0C19206g KLLA0C19228g
KLLA0C19228g KLLA0C19250g
KLLA0C19437g KLLA0C19547g
KLLA0D00660g KLLA0D00682g
KLLA0D00682g KLLA0D00704g
KLLA0D03333g KLLA0D03344g
KLLA0D10153g KLLA0D10175g
KLLA0D17600g KLLA0D17732g
KLLA0D17732g KLLA0D17864g
KLLA0D19921g KLLA0D19929g
KLLA0E00111g KLLA0E00133g
KLLA0E00265g KLLA0E00287g
KLLA0E00287g KLLA0E00309g
KLLA0E00309g KLLA0E00397g
KLLA0E14653g KLLA0E14675g
KLLA0E19867g KLLA0E19889g
KLLA0E24927g KLLA0E24949g
KLLA0E25081g KLLA0E25147g
KLLA0F00132g KLLA0F00154g
KLLA0F00220g KLLA0F00242g
KLLA0F00242g KLLA0F00264g
KLLA0F00264g KLLA0F00286g
KLLA0F00616g KLLA0F00638g
KLLA0F01573g KLLA0F01595g
KLLA0F04125g KLLA0F04169g
KLLA0F20603g KLLA0F20614g
KNAG0A02290 KNAG0A02300
KNAG0A06925 KNAG0A06930
KNAG0A06930 KNAG0A06940
KNAG0A06940 KNAG0A06945
KNAG0B02050 KNAG0B02060
KNAG0B03880 KNAG0B03890
KNAG0B06940 KNAG0B06950
KNAG0B06970 KNAG0B06980
KNAG0B06980 KNAG0B06990
KNAG0B06990 KNAG0B07000
KNAG0B07000 KNAG0B07010
KNAG0D00110 KNAG0D00120
KNAG0D03060 KNAG0D03070
KNAG0D03620 KNAG0D03630
KNAG0D05360 KNAG0D05370
KNAG0E01160 KNAG0E01170
KNAG0E01405 KNAG0E01410
KNAG0E03070 KNAG0E03080
KNAG0E03750 KNAG0E03760
KNAG0E04230 KNAG0E04240
KNAG0E04260 KNAG0E04270
KNAG0E04270 KNAG0E04280
KNAG0F03415 KNAG0F03420
KNAG0F03755 KNAG0F03760
KNAG0F03760 KNAG0F03765
KNAG0G02165 KNAG0G02170
KNAG0G02170 KNAG0G02180
KNAG0G02510 KNAG0G02530
KNAG0H00100 KNAG0H00105
KNAG0H01455 KNAG0H01460
KNAG0H01615 KNAG0H01620
KNAG0I00120 KNAG0I00130
KNAG0J02980 KNAG0J02990
KNAG0J02990 KNAG0J03000
KNAG0K01635 KNAG0K01643
KNAG0L00920 KNAG0L00925
KNAG0L00925 KNAG0L00930
KNAG0L02460 KNAG0L02470
KNAG0L02470 KNAG0L02480
KNAG0M02670 KNAG0M02680
KNAG0M02680 KNAG0M02690
SAKL0A05676g SAKL0A05698g
SAKL0A10648g SAKL0A10670g
SAKL0B01386g SAKL0B01408g
SAKL0B01408g SAKL0B01430g
SAKL0B01430g SAKL0B01452g
SAKL0B01848g SAKL0B01870g
SAKL0B08162g SAKL0B08184g
SAKL0B11583g1 SAKL0B11583g2
SAKL0B12584g SAKL0B12606g
SAKL0B12716g SAKL0B12738g
SAKL0B12738g SAKL0B12760g
SAKL0C00176g SAKL0C00198g
SAKL0C02970g SAKL0C02992g
SAKL0C03872g SAKL0C03894g
SAKL0C03894g SAKL0C03916g
SAKL0C08228g SAKL0C08250g
SAKL0C08250g SAKL0C08272g
SAKL0C10604g SAKL0C10626g
SAKL0C10626g SAKL0C10648g
SAKL0C10912g SAKL0C10934g
SAKL0C10934g SAKL0C10956g
SAKL0C11000g SAKL0C11022g
SAKL0C13882g SAKL0C13904g
SAKL0C14014g SAKL0C14058g
SAKL0D08162g SAKL0D08217g1
SAKL0D09878g SAKL0D09922g
SAKL0D15136g SAKL0D15158g
SAKL0D15290g SAKL0D15312g
SAKL0D15312g SAKL0D15334g
SAKL0D15334g SAKL0D15400g
SAKL0E00110g SAKL0E00132g
SAKL0E00132g SAKL0E00154g
SAKL0E00154g SAKL0E00176g
SAKL0E05236g SAKL0E05258g
Sklu_YGOB_MFA2 SAKL0E14784g
SAKL0E15312g SAKL0E15356g
SAKL0E15356g SAKL0E15378g
SAKL0F00110g SAKL0F00132g
SAKL0F06809g1 SAKL0F06809g2
SAKL0F14740g SAKL0F14762g
SAKL0F14762g SAKL0F14784g
SAKL0F16698g SAKL0F16720g
SAKL0G00110g SAKL0G00132g
SAKL0G00132g SAKL0G00154g
SAKL0G00154g SAKL0G00176g
SAKL0G09350g SAKL0G09372g
SAKL0G19822g SAKL0G19844g
SAKL0H20614g SAKL0H20636g
KLTH0A00440g KLTH0A00462g
KLTH0A00462g KLTH0A00484g
KLTH0B00264g KLTH0B00286g
KLTH0B06688g KLTH0B06710g
KLTH0B09262g KLTH0B09284g
KLTH0B10186g KLTH0B10230g
KLTH0B10230g KLTH0B10252g
KLTH0B10252g KLTH0B10274g
KLTH0B10274g KLTH0B10296g
KLTH0B10296g KLTH0B10318g
KLTH0B10318g KLTH0B10340g
KLTH0C00264g KLTH0C00286g
KLTH0C01716g KLTH0C01738g
KLTH0C07700g KLTH0C07722g
KLTH0C07722g KLTH0C07744g
KLTH0C07744g KLTH0C07766g
KLTH0C10120g KLTH0C10142g
KLTH0C10142g KLTH0C10164g
KLTH0C10494g KLTH0C10516g
KLTH0C11770g KLTH0C11836g
KLTH0C11836g KLTH0C11858g
KLTH0C11924g KLTH0C11946g
KLTH0C11946g KLTH0C11968g
Kthe_YGOB_E18415 KLTH0D06974g
KLTH0D16940g KLTH0D16962g
KLTH0E00132g KLTH0E00154g
KLTH0E00154g KLTH0E00176g
KLTH0E09878g KLTH0E09900g
KLTH0E16676g KLTH0E16720g
KLTH0E17006g KLTH0E17138g
Kthe_YGOB_Kwal_33.13271 KLTH0F01892g
KLTH0F03014g KLTH0F03036g
KLTH0F03982g KLTH0F04004g
KLTH0F04004g KLTH0F04026g
KLTH0F04026g KLTH0F04048g
KLTH0F04048g KLTH0F04070g
KLTH0F19844g KLTH0F19866g
KLTH0F19866g KLTH0F19888g
KLTH0F19888g KLTH0F19932g
KLTH0F19932g KLTH0F19954g
KLTH0G19382g KLTH0G19404g
KLTH0G19492g KLTH0G19536g
KLTH0G19536g KLTH0G19558g
KLTH0G19558g KLTH0G19580g
KLTH0G19580g KLTH0G19602g
KLTH0H16236g KLTH0H16258g
KLTH0H16258g KLTH0H16390g
KLTH0H16390g KLTH0H16456g
NCAS0A00390 NCAS0A00400
NCAS0A03060 NCAS0A03070
NCAS0A03070 NCAS0A03080
NCAS0A08730 NCAS0A08740
NCAS0A15330 NCAS0A15340
NCAS0B00460 NCAS0B00470
NCAS0B07880 NCAS0B07890
NCAS0C02980 NCAS0C02990
NCAS0C05990 NCAS0C06000
NCAS0D01210 NCAS0D01220
NCAS0D03530 NCAS0D03540
NCAS0D04850 NCAS0D04860
NCAS0D04970 NCAS0D04980
NCAS0E00450 NCAS0E00460
NCAS0E03960 NCAS0E03970
NCAS0E04200 NCAS0E04210
NCAS0F00110 NCAS0F00120
NCAS0F02540 NCAS0F02550
NCAS0F03700 NCAS0F03710
NCAS0F04090 NCAS0F04100
NCAS0G00100 NCAS0G00110
NCAS0G00820 NCAS0G00830
NCAS0G01840 NCAS0G01850
NCAS0G01850 NCAS0G01860
NCAS0G02790 NCAS0G02800
NCAS0G03840 NCAS0G03850
NCAS0H03500 NCAS0H03510
NCAS0H03640 NCAS0H03650
NCAS0H03650 NCAS0H03660
NCAS0H03660 NCAS0H03670
NCAS0I03200 NCAS0I03210
NCAS0J02030 NCAS0J02040
NCAS0J02320 NCAS0J02330
NDAI0A01420 NDAI0A01430
NDAI0A03880 NDAI0A03890
NDAI0A04050 NDAI0A04060
NDAI0B00560 NDAI0B00570
NDAI0B00570 NDAI0B00575
NDAI0B00575 NDAI0B00580
NDAI0B00740 NDAI0B00750
NDAI0B01870 NDAI0B01880
NDAI0B03980 NDAI0B03990
NDAI0B03990 NDAI0B04000
NDAI0B06360 NDAI0B06370
NDAI0B06370 NDAI0B06380
NDAI0C01560 NDAI0C01570
NDAI0C03520 NDAI0C03530
NDAI0C06330 NDAI0C06340
NDAI0D00660 NDAI0D00670
NDAI0D00670 NDAI0D00680
NDAI0D05050 NDAI0D05060
NDAI0D05060 NDAI0D05070
NDAI0D05090 NDAI0D05100
NDAI0D05100 NDAI0D05110
NDAI0D05110 NDAI0D05120
NDAI0E03140 NDAI0E03150
NDAI0E04940 NDAI0E04950
NDAI0F00110 NDAI0F00120
NDAI0F00870 NDAI0F00880
NDAI0F01920 NDAI0F01930
NDAI0F01930 NDAI0F01940
NDAI0F04040 NDAI0F04050
NDAI0F04050 NDAI0F04060
NDAI0G00100 NDAI0G00110
NDAI0G00110 NDAI0G00120
NDAI0G02330 NDAI0G02340
NDAI0G03580 NDAI0G03590
NDAI0H04030 NDAI0H04040
NDAI0I01720 NDAI0I01730
NDAI0I02500 NDAI0I02510
NDAI0I02670 NDAI0I02680
NDAI0I03040 NDAI0I03050
NDAI0J00770 NDAI0J00780
NDAI0J02580 NDAI0J02590
NDAI0J03060 NDAI0J03070
YAL069W YAL068W-A
YAR027W YAR028W
YAR028W YAR029W
YAR031W YAR033W
YAR050W YAR053W
YAR061W YAR062W
YAR062W YAR064W
YAR064W YAR066W
YAR066W YAR068W
YAR071W YAR073W
YAR073W YAR075W
YBL108W YBL107W-A
YBR126W-A YBR126W-B
YBR223W-A YBR224W
YBR293W YBR294W
YBR294W YBR295W
YCL076W YCL075W
YCL075W YCL074W
YCR102W-A YCR104W
YCR104W YCR105W
YCR105W YCR106W
YCR106W YCR107W
YDL248W YDL247W-A
YDL247W-A YDL247W
YDL242W YDL241W
YDR538W YDR539W
YEL072W YEL071W
YEL071W YEL070W
YER084W YER084W-A
YER137W-A YER138W-A
YER187W YER188W
YER189W YER190W
YFL068W YFL067W
YFL063W YFL062W
YFL062W YFL061W
YFL059W YFL058W
YFL012W-A YFL012W
YFL012W YFL011W
YFL011W YFL010W-A
YFR055W YFR057W
YGL263W YGL262W
YGL260W YGL259W
YGL259W YGL258W-A
YGL258W-A YGL258W
YGL256W YGL255W
YGL053W YGL052W
YGL052W YGL051W
YGL007W YGL006W-A
YGR068W-A YGR069W
YHL045W YHL044W
YHL044W YHL043W
YHL043W YHL042W
YHL042W YHL041W
YHR180W YHR180W-A
YHR212W-A YHR213W
YHR213W YHR213W-A
YHR213W-A YHR213W-B
YHR213W-B YHR214W
YHR214W YHR214W-A
YHR215W YHR216W
YHR218W YHR218W-A
YHR218W-A YHR219W
YIL175W YIL174W
YIL174W YIL173W
YIL171W-A YIL171W
YIL171W YIL170W
Scer_YGOB_SDL1 YIL168W
YIL168W YIL167W
YIL080W YIL082W
YJL222W-B YJL222W-A
YJL222W-A YJL222W
YJL220W YJL219W
YJL214W YJL213W
YJR154W YJR155W
YJR157W YJR158W
YJR158W YJR159W
YKL071W YKL070W
YKL031W YKL030W
YKR101W YKR102W
YKR102W YKR103W
YKR103W YKR104W
YLL067W-A YLL066W-B
YLL066W-A YLL065W
YLL017W YLL016W
YLR111W YLR112W
YLR124W YLR125W
YLR154W-A YLR154W-B
YLR154W-B YLR154W-C
YLR154W-C YLR154W-E
YLR154W-E YLR154W-F
YLR157W-D YLR157W-E
YLR161W YLR162W
YLR162W YLR162W-A
YLR399W-A YLR400W
YLR461W YLR462W
YML133W-B YML133W-A
YML133W-A YML132W
YMR017W YMR018W
YMR272W-A YMR272W-B
YMR315W-A YMR316W
YNL339W-B YNL339W-A
YNL339W-A YNL338W
YNL338W YNL337W
YNL337W YNL336W
YNL336W YNL335W
YNL333W YNL332W
YNL067W-A YNL067W-B
YNL034W YNL033W
YNR059W YNR060W
YOL164W-A YOL164W
YOL164W YOL163W
YOL163W YOL162W
YOL156W YOL155W-A
YOL152W YOL151W
YOL015W YOL014W
YOL014W YOL013W-B
YOL013W-B YOL013W-A
YOR072W YOR072W-A
YOR072W-A YOR072W-B
YOR161W-A YOR161W-B
YOR199W YOR200W
YOR314W YOR314W-A
YOR376W YOR376W-A
YOR376W-A YOR377W
YOR380W YOR381W
YOR381W YOR381W-A
YOR381W-A YOR382W
YOR384W YOR385W
YOR389W YOR390W
YOR392W YOR393W
YOR393W YOR394W
YPL283W-B YPL283W-A
YPL276W YPL275W
YPR038W YPR039W
YPR202W YPR203W
YPR203W YPR204W
TBLA0A00515 TBLA0A00520
TBLA0A00520 TBLA0A00530
TBLA0A00860 TBLA0A00870
TBLA0A01170 TBLA0A01180
TBLA0A04260 TBLA0A04270
TBLA0A06840 TBLA0A06850
TBLA0A08510 TBLA0A08515
TBLA0A08515 TBLA0A08520
TBLA0A10540 TBLA0A10550
TBLA0B00410 TBLA0B00420
TBLA0B00420 TBLA0B00430
TBLA0B00430 TBLA0B00440
TBLA0B00680 TBLA0B00690
TBLA0B00690 TBLA0B00700
TBLA0B04160 TBLA0B04170
TBLA0B06370 TBLA0B06380
TBLA0B06820 TBLA0B06840
TBLA0B06840 TBLA0B06845
TBLA0B06845 TBLA0B06850
TBLA0B06850 TBLA0B06855
TBLA0B07050 TBLA0B07060
TBLA0C00560 TBLA0C00570
TBLA0C01230 TBLA0C01240
TBLA0C01350 TBLA0C01360
TBLA0C01360 TBLA0C01370
TBLA0C01370 TBLA0C01380
TBLA0C01380 TBLA0C01390
TBLA0C06360 TBLA0C06370
TBLA0C07200 TBLA0C07210
TBLA0C07210 TBLA0C07220
TBLA0C07220 TBLA0C07230
TBLA0C07230 TBLA0C07240
TBLA0D00140 TBLA0D00150
TBLA0D00680 TBLA0D00690
TBLA0D00750 TBLA0D00760
TBLA0D01485 TBLA0D01490
TBLA0D03340 TBLA0D03350
TBLA0D05050 TBLA0D05060
TBLA0D05255 TBLA0D05260
TBLA0E00810 TBLA0E00820
TBLA0E02352 TBLA0E02355
TBLA0E02355 TBLA0E02360
TBLA0E02360 TBLA0E02365
TBLA0E04350 TBLA0E04360
TBLA0F00590 TBLA0F00595
TBLA0F00595 TBLA0F00600
TBLA0F00655 TBLA0F00657
TBLA0F00657 TBLA0F00660
TBLA0F00660 TBLA0F00670
TBLA0F00670 TBLA0F00680
TBLA0F03520 TBLA0F03530
TBLA0F03530 TBLA0F03540
TBLA0G00490 TBLA0G00500
TBLA0G01140 TBLA0G01145
TBLA0G03700 TBLA0G03710
TBLA0I03010 TBLA0I03020
TDEL0A00140 TDEL0A00150
TDEL0A06960 TDEL0A06970
TDEL0B00130 TDEL0B00140
TDEL0B07670 TDEL0B07680
TDEL0B07680 TDEL0B07690
TDEL0C00150 TDEL0C00160
TDEL0C00160 TDEL0C00170
TDEL0D00130 TDEL0D00140
TDEL0D00190 TDEL0D00200
TDEL0D00200 TDEL0D00210
TDEL0D00210 TDEL0D00220
TDEL0D00220 TDEL0D00230
TDEL0D06500 TDEL0D06510
TDEL0D06530 TDEL0D06540
TDEL0D06540 TDEL0D06550
TDEL0D06550 TDEL0D06560
TDEL0E00100 TDEL0E00110
TDEL0E00110 TDEL0E00120
TDEL0E00270 TDEL0E00280
TDEL0F00140 TDEL0F00150
TDEL0F00150 TDEL0F00160
TDEL0G00110 TDEL0G00120
TDEL0G00160 TDEL0G00170
TDEL0G00170 TDEL0G00180
TDEL0G04770 TDEL0G04780
