CAGL0F07139g Cgla_YGOB_ABC1
Ecym_3053 Ecym_3052
AAR180C AAR181W
KAFR0A04580 KAFR0A04570
KLLA0B00561g KLLA0B00539g
KNAG0F02450 KNAG0F02440
SAKL0A06710g SAKL0A06688g
KLTH0H06204g KLTH0H06182g
NCAS0D03300 NCAS0D03310
NDAI0I01570 NDAI0I01560
YGL120C YGL119W
TDEL0A01760 TDEL0A01750
ZYRO0E01606g ZYRO0E01584g
