CAGL0G08272g CAGL0G08250g
AGL121W AGL122W
KAFR0H01950 KAFR0H01960
KLLA0D18458g KLLA0D18436g
KNAG0A02680 KNAG0A02690
SAKL0H13772g SAKL0H13794g
KLTH0F08580g KLTH0F08602g
NCAS0C02890 NCAS0C02900
NDAI0G02220 NDAI0G02230
TBLA0H00890 TBLA0H00900
TDEL0F05170 TDEL0F05160
TPHA0C02340 TPHA0C02350
ZYRO0C04180g ZYRO0C04158g
