CAGL0E01991g CAGL0E02013g
Ecym_2052 Ecym_2053
ADL158C ADL157C
KAFR0A08390 KAFR0A08380
KLLA0A07194g KLLA0A07227g
KNAG0A01390 KNAG0A01400
SAKL0C12584g SAKL0C12562g
KLTH0A01122g KLTH0A01144g
NCAS0A10000 NCAS0A09990
NCAS0C04630 NCAS0C04640
NDAI0A06160 NDAI0A06150
NDAI0G03990 NDAI0G04000
YNL302C YNL301C
YOL121C YOL120C
TBLA0A07820 TBLA0A07830
TDEL0E00610 TDEL0E00620
TPHA0A00470 TPHA0A00480
ZYRO0C02530g ZYRO0C02508g
