CAGL0J05258g Cgla_YGOB_Anc_1.314
Ecym_6284 Ecym_6285
AEL162W AEL163C
KAFR0C04170 KAFR0C04180
KLLA0F01793g KLLA0F01771g
KNAG0C01730 KNAG0C01740
SAKL0D07062g SAKL0D07040g
KLTH0H10824g KLTH0H10802g
NCAS0B07480 NCAS0B07470
NDAI0B04810 NDAI0B04800
YJL063C YJL062W-A
TBLA0F01360 TBLA0F01350
TDEL0D01820 TDEL0D01830
TPHA0I01220 TPHA0I01230
ZYRO0G20812g ZYRO0G20790g
