ACR289W ACR288W
KAFR0K00660 KAFR0K00670
KLLA0F15862g KLLA0F15884g
KNAG0D04850 KNAG0D04840
SAKL0B10054g SAKL0B10032g
KLTH0D02288g KLTH0D02310g
NCAS0F01650 NCAS0F01640
NDAI0H02530 NDAI0H02520
YAL022C YAL021C
TBLA0A04650 TBLA0A04660
TDEL0H03740 TDEL0H03730
TPHA0H02690 TPHA0H02680
ZYRO0D05280g ZYRO0D05302g
