CAGL0J04950g CAGL0J04928g
Ecym_6302 Ecym_6303
AEL180C AEL181C
KAFR0A00850 KAFR0A00860
KLLA0F01386g KLLA0F01364g
KNAG0E02650 KNAG0E02660
SAKL0D06644g SAKL0D06622g
KLTH0H10428g KLTH0H10406g
NCAS0A09120 NCAS0A09110
NDAI0G05840 NDAI0G05850
YJL051W YJL050W
TBLA0F01290 TBLA0F01280
TDEL0D02000 TDEL0D01990
TPHA0O01430 TPHA0O01420
ZYRO0B09284g ZYRO0B09306g
