CAGL0L07942g Cgla_YGOB_Anc_1.437
Ecym_1350 Ecym_1349
AEL047C AEL046W
KAFR0F01420 KAFR0F01410
KLLA0A11220g KLLA0A11209g
SAKL0D10582g Sklu_YGOB_Anc_1.437
Kthe_YGOB_Anc_1.438 KLTH0H13838g
NCAS0A08500 NCAS0A08510
NDAI0G04960 NDAI0G04970
YCR020C-A YCR020W-B
TBLA0A01310 TBLA0A01300
TDEL0B05650 TDEL0B05660
TPHA0O00900 TPHA0O00910
ZYRO0E03762g ZYRO0E03784g
