CAGL0K03707g CAGL0K03729g
AFR217W AFR218W
KAFR0A00440 KAFR0A00430
KAFR0D02810 KAFR0D02800
KLLA0F17545g KLLA0F17523g
KNAG0E02240 KNAG0E02230
SAKL0E04422g SAKL0E04444g
KLTH0E09108g KLTH0E09130g
NCAS0F01910 NCAS0F01920
NDAI0H02810 NDAI0H02800
YMR124W YMR125W
TDEL0A01880 TDEL0A01870
TPHA0G02330 TPHA0G02350
TPHA0G02745 TPHA0G02740
ZYRO0A08998g ZYRO0A08976g
