AFR663W AFR662C
KAFR0D00470 KAFR0D00460
KLLA0C02453g KLLA0C02475g
KNAG0C00550 KNAG0C00540
SAKL0C02816g SAKL0C02838g
KLTH0F02508g KLTH0F02530g
NCAS0B08010 NCAS0B08020
NDAI0B05320 NDAI0B05310
YGR047C YGR048W
TBLA0A05500 TBLA0A05510
TDEL0C06130 TDEL0C06120
TPHA0B04430 TPHA0B04420
ZYRO0F16544g ZYRO0F16522g
