CAGL0H05775g Cgla_YGOB_Anc_8.576
ABR192W ABR192CA
KLLA0E24267g Klac_YGOB_Anc_8.576
SAKL0H09196g Sklu_YGOB_Anc_8.576
KLTH0E13354g Kthe_YGOB_Anc_8.576
NCAS0B01950 NCAS0B01960
NDAI0C05730 NDAI0C05720
YPL097W YPL096C-A
TBLA0H03850 TBLA0H03840
TDEL0A05210 TDEL0A05200
TPHA0A01260 TPHA0A01270
ZYRO0F14784g Zrou_YGOB_Anc_8.576
