Cgla_YGOB_Anc_7.299 CAGL0I04004g
Ecym_8049 Ecym_8048
ADR103C ADR104C
KAFR0L01255 KAFR0L01250
Klac_YGOB_Anc_7.299 KLLA0F05423g
Sklu_YGOB_Anc_7.299 SAKL0F10098g
Kthe_YGOB_Anc_7.299 KLTH0H02420g
NCAS0E03660 NCAS0E03650
NDAI0A02970 NDAI0A02980
YDL184C YDL183C
TDEL0H01450 TDEL0H01460
Zrou_YGOB_Anc_7.299 ZYRO0C09482g
