ADL127C ADL126C
KAFR0G02940 KAFR0G02950
KLLA0D16027g KLLA0D16049g
KNAG0L01170 KNAG0L01180
SAKL0F07304g SAKL0F07326g
KLTH0E04752g KLTH0E04730g
NCAS0E01910 NCAS0E01900
NDAI0G02060 NDAI0G02050
YFR031C-A YFR032C
TBLA0J01590 TBLA0J01580
TDEL0H02600 TDEL0H02590
TPHA0C04445 TPHA0C04450
ZYRO0D15664g ZYRO0D15686g
