Cgla_YGOB_YER053C-A Cglabrata
KAFR0I01900 Kafricana
Klac_YGOB_YER053C-A Klactis
KNAG0D01720 Knaganishii
Sklu_YGOB_YER053C-A Lkluyveri
Kthe_YGOB_YER053C-A Lthermotolerans
NCAS0E03130 Ncastellii
NDAI0E04360 Ndairenensis
YER053C-A Scerevisiae
TBLA0D04150 Tblattae
TDEL0H02150 Tdelbrueckii
TPHA0C01170 Tphaffii
Zrou_YGOB_YER053C-A Zrouxii
