ADL392W ADL391C
KAFR0B06950 KAFR0B06960
KLLA0B03674g KLLA0B03652g
KNAG0M00220 KNAG0M00210
SAKL0B12298g SAKL0B12320g
KLTH0D17270g KLTH0D17248g
NCAS0A06400 NCAS0A06410
NDAI0D03390 NDAI0D03400
YHR202W YHR203C
TBLA0E04940 TBLA0E04950
TDEL0D00360 TDEL0D00350
TPHA0B00270 TPHA0B00260
ZYRO0G00572g ZYRO0G00550g
