CAGL0D01826g Cgla_YGOB_YGL194C-A
AFR169W AFR170C
KAFR0C02900 KAFR0C02910
KLLA0F12430g Klac_YGOB_YGL194C-A
KNAG0G01370 KNAG0G01360
SAKL0H25168g Sklu_YGOB_YGL194C-A
KLTH0E06424g Kthe_YGOB_YGL194C-A
NCAS0B05460 NCAS0B05470
YGL195W YGL194C-A
TBLA0F00410 TBLA0F00400
TDEL0B04560 TDEL0B04570
TPHA0H00300 TPHA0H00310
ZYRO0G19360g Zrou_YGOB_YGL194C-A
