CAGL0M06655g CAGL0M06677g
Ecym_3338 Ecym_3339
ADL202C ADL201W
KLLA0E08625g KLLA0E08647g
KNAG0H01890 KNAG0H01900
KLTH0G10670g KLTH0G10692g
NCAS0G03700 NCAS0G03710
YNL031C YNL030W
TBLA0B06000 TBLA0B06010
TDEL0G02280 TDEL0G02290
TPHA0C03480 TPHA0C03490
TPHA0G00780 TPHA0G00790
ZYRO0A02178g ZYRO0A02200g
