CAGL0C00231g CAGL0C00253g
CAGL0D00374g CAGL0D00396g
CAGL0D02640g CAGL0D02662g
CAGL0E01727g CAGL0E01749g
CAGL0E06644g CAGL0E06666g
CAGL0G09625g CAGL0G09647g
CAGL0L13332g CAGL0L13354g
CAGL0M14091g CAGL0M14113g
Ecym_2200 Ecym_2201
Ecym_3379 Ecym_3380
Ecym_4267 Ecym_4268
Ecym_4582 Ecym_4583
Ecym_5675 Ecym_5676
Ecym_6119 Ecym_6120
Ecym_6315 Ecym_6316
ACL204W ACL203C
ADL400W ADL399C
ADL396W ADL395C
AER451W AER452C
AER457W AER458C
AFL235W AFL234C
AFL095W AFL092C
AFR379W AFR380C
AGL368W AGL367C
AGL367WA AGL366C
AGR404W AGR405C
KAFR0A00120 KAFR0A00130
KAFR0B00110 KAFR0B00113
KAFR0B00150 KAFR0B00160
KAFR0B00200 KAFR0B00210
KAFR0B03240 KAFR0B03250
KAFR0B06530 KAFR0B06540
KAFR0B07050 KAFR0B07060
KAFR0C00100 KAFR0C00130
KAFR0C00150 KAFR0C00170
KAFR0C00180 KAFR0C00185
KAFR0C03740 KAFR0C03750
KAFR0C06560 KAFR0C06570
KAFR0C06580 KAFR0C06590
KAFR0D00790 KAFR0D00800
KAFR0E00130 KAFR0E00140
KAFR0E04495 KAFR0E04500
KAFR0F00105 KAFR0F00110
KAFR0F00120 KAFR0F00125
KAFR0F00129 KAFR0F00130
KAFR0F04430 KAFR0F04440
KAFR0G00110 KAFR0G00120
KAFR0H03760 KAFR0H03770
KAFR0I00120 KAFR0I00130
KAFR0I01770 KAFR0I01780
KAFR0I02950 KAFR0I02955
KAFR0K00120 KAFR0K00130
KAFR0K00145 KAFR0K00150
KAFR0K01480 KAFR0K01490
KAFR0K02290 KAFR0K02295
KAFR0L00100 KAFR0L00110
KAFR0L00140 KAFR0L00150
KLLA0A00132g KLLA0A00143g
KLLA0A00154g KLLA0A00176g
KLLA0A00220g KLLA0A00242g
KLLA0A04345g KLLA0A04367g
KLLA0A04587g KLLA0A04609g
KLLA0A11957g KLLA0A11979g
KLLA0A12001g KLLA0A12045g
KLLA0B00143g KLLA0B00166g
KLLA0B00187g KLLA0B00220g
KLLA0B00264g KLLA0B00286g
KLLA0B09042g KLLA0B09064g
KLLA0B14927g KLLA0B14949g
KLLA0C00132g KLLA0C00154g
KLLA0C00242g KLLA0C00264g
KLLA0C04994g KLLA0C05016g
KLLA0C05412g KLLA0C05456g
KLLA0C19019g KLLA0C19041g
KLLA0C19250g KLLA0C19272g
KLLA0C19316g KLLA0C19327g
KLLA0D00143g KLLA0D00157g
KLLA0D00187g KLLA0D00209g
KLLA0D00253g KLLA0D00258g
KLLA0D10109g KLLA0D10131g
KLLA0D12628g KLLA0D12650g
KLLA0D15356g KLLA0D15378g
KLLA0D17864g KLLA0D17952g
KLLA0D19929g KLLA0D19933g
KLLA0D19945g KLLA0D19949g
KLLA0D19957g KLLA0D19965g
KLLA0D19987g KLLA0D20009g
KLLA0E00133g KLLA0E00155g
KLLA0E01783g KLLA0E01805g
KLLA0E14609g KLLA0E14631g
KLLA0E24817g KLLA0E24861g
KLLA0E24883g KLLA0E24905g
KLLA0E24949g KLLA0E24993g
KLLA0E25147g KLLA0E25180g
KLLA0F00154g KLLA0F00176g
KLLA0F20614g KLLA0F20636g
KNAG0A06620 KNAG0A06625
KNAG0B05400 KNAG0B05410
KNAG0B06950 KNAG0B06960
KNAG0D05370 KNAG0D05380
KNAG0E00950 KNAG0E00960
KNAG0E00990 KNAG0E01000
KNAG0E01530 KNAG0E01550
KNAG0E04240 KNAG0E04250
KNAG0G02530 KNAG0G02540
KNAG0G02840 KNAG0G02850
