Cgla_YGOB_YLR146W-A Cglabrata
Agos_YGOB_YLR146W-A Egossypii
KAFR0H02110 Kafricana
KLLA0D17127g Klactis
KNAG0A02820 Knaganishii
SAKL0H14784g Lkluyveri
KLTH0G11440g Lthermotolerans
NCAS0C03100 Ncastallii
NDAI0G02410 Ndairenensis
YLR146W-A Scerevisiae
TDEL0F04800 Tdelbrueckii
TPHA0C00600 Tphaffii
ZYRO0F14168g Zrouxii
