Cgla_YGOB_M06435 Cglabrata
Ecym_7051 Ecymbalariae
AEL258W Egossypii
KAFR0E00840 Kafricana
KLLA0E23783g Klactis
KNAG0A01880 Knaganishii
Sklu_YGOB_09658g Lkluyveri
KLTH0E12936g Lthermotolerans
NCAS0C02020 Ncastallii
NDAI0E02730 Ndairenensis
YBR186W Scerevisiae
TBLA0H03710 Tblattae
TDEL0B02870 Tdelbrueckii
TPHA0I01820 Tphaffii
Zrou_YGOB_A13310g Zrouxii
