#Species	Gene_1	Ext_1	Species	Gene_2	Ext_2	Weight
Scerevisiae	2695_195372	h	Scerevisiae	2696_109880	t	1
Cglabrata	603_186701	h	Cglabrata	805_84980	h	1
Tdelbrueckii	603_186680	h	Tdelbrueckii	805_84994	h	1
Ncastellii	603_186672	h	Ncastellii	805_85005	h	1
Zrouxii	603_186663	h	Zrouxii	805_84993	h	1
Egossypii	603_186658	h	Egossypii	805_84989	h	1
Lkluyveri	603_186653	h	Lkluyveri	805_84985	h	1
Lthermotolerans	603_186652	h	Lthermotolerans	805_84971	h	1
Knaganishii	1248_209062	t	Knaganishii	1677_144208	h	1
Ndairenensis	1248_209054	t	Ndairenensis	1677_144211	h	1
Ncastellii	1248_209053	t	Ncastellii	1677_144210	h	1
Scerevisiae	1248_209039	t	Scerevisiae	1677_144204	h	1
Tdelbrueckii	3698_113239	t	Tdelbrueckii	4592_199460	t	1
Zrouxii	3698_113238	t	Zrouxii	4592_199459	t	1
Klactis	3698_113235	t	Klactis	4592_199447	t	1
Egossypii	3698_113234	t	Egossypii	4592_199456	t	1
Ecymbalariae	3698_113233	t	Ecymbalariae	4592_199455	t	1
Lkluyveri	3698_113230	t	Lkluyveri	4592_199444	t	1
Lthermotolerans	3698_113229	t	Lthermotolerans	4592_199451	t	1
Scerevisiae	1154_118196	t	Scerevisiae	1155_106911	t	1
Ndairenensis	1154_118190	t	Ndairenensis	1155_106897	t	1
Scerevisiae	949_188276	h	Scerevisiae	3043_52437	h	1
Ndairenensis	949_188266	h	Ndairenensis	3043_52425	h	1
Ncastellii	949_188265	h	Ncastellii	3043_52424	h	1
Knaganishii	949_188258	h	Knaganishii	3043_52414	h	1
Kafricana	949_188257	h	Kafricana	3043_52413	h	1
Zrouxii	949_188246	h	Zrouxii	3043_52372	h	1
Klactis	949_188243	h	Klactis	3043_52353	h	1
Lkluyveri	949_188238	h	Lkluyveri	3043_52359	h	1
Egossypii	949_188233	h	Egossypii	3043_52368	h	1
Ecymbalariae	949_188232	h	Ecymbalariae	3043_52367	h	1
node_3	949_188231	h	node_3	3043_52366	h	1
Lthermotolerans	949_188228	h	Lthermotolerans	3043_52363	h	1
node_0	949_188223	h	node_0	3043_52348	h	1
Tphaffii	1107_123905	h	Tphaffii	1109_671	t	1
Ndairenensis	1107_123902	h	Ndairenensis	1109_658	t	1
Ncastellii	1107_123901	h	Ncastellii	1109_657	t	1
Cglabrata	1107_123890	h	Cglabrata	1109_638	t	1
Scerevisiae	1107_123881	h	Scerevisiae	1109_651	t	1
Tdelbrueckii	1107_123874	h	Tdelbrueckii	1109_645	t	1
Zrouxii	1107_123873	h	Zrouxii	1109_644	t	1
Klactis	1107_123870	h	Klactis	1109_628	t	1
Egossypii	1107_123869	h	Egossypii	1109_627	t	1
Ecymbalariae	1107_123868	h	Ecymbalariae	1109_626	t	1
node_3	1107_123867	h	node_3	1109_625	t	1
node_2	1107_123866	h	node_2	1109_624	t	1
Lkluyveri	1107_123865	h	Lkluyveri	1109_623	t	1
Lthermotolerans	1107_123864	h	Lthermotolerans	1109_622	t	1
node_1	1107_123863	h	node_1	1109_621	t	1
node_0	1107_123862	h	node_0	1109_620	t	1
Cglabrata	3968_9386	t	Cglabrata	3970_63939	t	1
Tblattae	3968_9355	t	Tblattae	3970_63950	t	1
Tphaffii	3968_9336	t	Tphaffii	3970_63949	t	1
Tblattae	2259_2490	t	Tblattae	2263_109238	t	1
Knaganishii	1803_96444	h	Knaganishii	2208_220090	h	1
Kafricana	2293_219412	h	Kafricana	2295_9130	h	1
Tblattae	357_43768	t	Tblattae	4187_3608	h	1
Tphaffii	357_43767	t	Tphaffii	4187_3585	h	1
Knaganishii	357_43756	t	Knaganishii	4187_3629	h	1
Kafricana	357_43755	t	Kafricana	4187_3597	h	1
Tdelbrueckii	357_43745	t	Tdelbrueckii	4187_3565	h	1
Zrouxii	357_43744	t	Zrouxii	4187_3564	h	1
Klactis	357_43741	t	Klactis	4187_3573	h	1
Egossypii	357_43740	t	Egossypii	4187_3618	h	1
Ecymbalariae	357_43739	t	Ecymbalariae	4187_3572	h	1
Lkluyveri	357_43736	t	Lkluyveri	4187_3613	h	1
Lthermotolerans	357_43735	t	Lthermotolerans	4187_3612	h	1
node_1	357_43734	t	node_1	4187_3611	h	1
Tblattae	3481_70496	t	Tblattae	4828_72391	t	1
Tblattae	1574_137427	t	Tblattae	3344_12860	t	1
