Cgla_YGOB_Anc_8.285 CAGL0M11462g
Ecym_4284 Ecym_4285
AGR063W AGR062C
KAFR0B02840 KAFR0B02830
KLLA0F19646g KLLA0F19624g
KNAG0G02150 KNAG0G02140
SAKL0H16478g SAKL0H16500g
KLTH0G13156g KLTH0G13178g
YLR099W-A YLR099C
TBLA0H01390 TBLA0H01400
TDEL0F04110 TDEL0F04100
TPHA0A01680 TPHA0A01690
ZYRO0D06644g ZYRO0D06666g
