Cgla_YGOB_YDR461C-A Cglabrata
Agos_YGOB_YDR461C-A Egossypii
KAFR0I01090 Kafricana
KLLA0C14916g Klactis
KNAG0C02850 Knaganishii
Sklu_YGOB_YDR461C-A Lkluyveri
Kthe_YGOB_YDR461C-A Lthermotolerans
NCAS0A07920 Ncastellii
NDAI0H01090 Ndairenensis
YDR461C-A Scerevisiae
Skud_4.737 Skudriavzevii
Smik_4.740 Smikitae
Smik_4.740 Suvarum
TDEL0A04480 Tdelbrueckii
