Agos_YGOB_Anc_7.495 Egossypii
KAFR0G00770 Kafricana
KLLA0F03179g Klactis
KNAG0D01200 Knaganishii
SAKL0F14630g Lkluyveri
KLTH0E01430g Lthermotolerans
Kwal_YGOB_Anc_7.495 Lwaltii
NCAS0H00400 Ncastellii
NDAI0D00350 Ndairenensis
Scer_YGOB_Anc_7.495 Scerevisiae
Skud_10.331 Skudriavzevii
Smik_10.400 Smikitae
Smik_10.400 Suvarum
TBLA0F02810 Tblattae
TDEL0H00750 Tdelbrueckii
TPHA0I02980 Tphaffii
Kpol_YGOB_Anc_7.495 Vpolyspora
Zrou_YGOB_Anc_7.495 Zrouxii
