CAGL0L05654g CAGL0L05632g
Ecym_5208 Ecym_5209
AFL218C AFL217C
KLLA0E15335g KLLA0E15313g
SAKL0C06622g SAKL0C06666g
KLTH0F05896g KLTH0F05918g
NCAS0A09760 NCAS0A09750
NDAI0G06160 NDAI0G06150
YJL129C YJL128C
TBLA0D05650 TBLA0D05640
TDEL0H01060 TDEL0H01070
TPHA0B03120 TPHA0B03130
ZYRO0D03322g ZYRO0D03344g
