CAGL0D04620g CAGL0D04642g
CAGL0M11044g CAGL0M11066g
Ecym_4429 Ecym_4430
AAR099W AAR100C
KAFR0A01000 KAFR0A00990
KAFR0A05420 KAFR0A05410
KLLA0D15543g KLLA0D15565g
KNAG0A07680 KNAG0A07690
KNAG0B00970 KNAG0B00960
SAKL0F06666g SAKL0F06688g
KLTH0E05192g KLTH0E05170g
NCAS0A11620 NCAS0A11610
NCAS0E00990 NCAS0E00980
NDAI0A04660 NDAI0A04670
NDAI0G01110 NDAI0G01100
YGR108W YGR109C
YPR119W YPR120C
TBLA0C02660 TBLA0C02670
TBLA0E00540 TBLA0E00530
TDEL0F03350 TDEL0F03360
TPHA0D03070 TPHA0D03080
TPHA0D04040 TPHA0D04050
ZYRO0C06138g ZYRO0C06160g
