ADR232W ADR233W
KAFR0D02320 KAFR0D02310
KAFR0H00270 KAFR0H00260
KLLA0E13135g KLLA0E13113g
KNAG0L02040 KNAG0L02050
SAKL0E14630g SAKL0E14652g
KLTH0E01276g KLTH0E01254g
NDAI0F00380 NDAI0F00370
YKR090W YKR091W
TBLA0A09150 TBLA0A09140
TDEL0B02310 TDEL0B02300
TPHA0E00300 TPHA0E00290
ZYRO0G14542g ZYRO0G14564g
