AER180W AER179C
KAFR0H01200 KAFR0H01210
KLLA0E12431g KLLA0E12453g
KNAG0H00960 KNAG0H00970
SAKL0B06666g SAKL0B06644g
KLTH0E14410g KLTH0E14388g
NCAS0A10840 NCAS0A10830
NDAI0A05460 NDAI0A05470
YBL028C YBL027W
TBLA0I02180 TBLA0I02170
TDEL0F02040 TDEL0F02050
TPHA0M01340 TPHA0M01330
ZYRO0G12980g ZYRO0G12958g
