CAGL0A01870g CAGL0A01892g
CAGL0C00209g CAGL0C00231g
CAGL0C00253g CAGL0C00275g
CAGL0E00231g CAGL0E00275g
CAGL0E01859g CAGL0E01881g
CAGL0I10147g CAGL0I10200g
CAGL0J02024g CAGL0J02046g
CAGL0J11891g CAGL0J11968g
CAGL0K00110g CAGL0K00170g
CAGL0K12980g CAGL0K13002g
CAGL0M00132g CAGL0M00154g
CAGL0M07744g CAGL0M07766g
CAGL0M14047g CAGL0M14069g
Ecym_7159 Ecym_7160
Ecym_8388 Ecym_8389
ABR245C ABR246W
ACL205C ACL204W
ACL203C ACL202W
ACR272C ACR273W
ADL397C ADL396W
ADL394C ADL393W
AER458C AER459W
AFR436C AFR437W
AGL367C AGL367WA
KAFR0A00100 KAFR0A00110
KAFR0B00117 KAFR0B00140
KAFR0B00180 KAFR0B00190
KAFR0B06430 KAFR0B06440
KAFR0B06620 KAFR0B06625
KAFR0B07040 KAFR0B07050
KAFR0C00140 KAFR0C00150
KAFR0C00170 KAFR0C00180
KAFR0C06570 KAFR0C06580
KAFR0D05130 KAFR0D05140
KAFR0E00100 KAFR0E00110
KAFR0F00110 KAFR0F00115
KAFR0F00127 KAFR0F00129
KAFR0G00095 KAFR0G00100
KAFR0G00120 KAFR0G00130
KAFR0G00150 KAFR0G00160
KAFR0G00340 KAFR0G00350
KAFR0G02160 KAFR0G02170
KAFR0G03820 KAFR0G03830
KAFR0H03770 KAFR0H03780
KAFR0I00100 KAFR0I00110
KAFR0I00130 KAFR0I00140
KAFR0I02940 KAFR0I02950
KAFR0J02980 KAFR0J02990
KAFR0K00100 KAFR0K00120
KAFR0K00130 KAFR0K00135
KAFR0K01490 KAFR0K01500
KAFR0L00110 KAFR0L00120
KLLA0A00143g KLLA0A00154g
KLLA0A00198g KLLA0A00220g
KLLA0A00242g KLLA0A00264g
KLLA0A00352g KLLA0A00374g
KLLA0A03289g KLLA0A03311g
KLLA0A04367g KLLA0A04389g
KLLA0A04565g KLLA0A04587g
KLLA0A11979g KLLA0A12001g
KLLA0A12067g KLLA0A12089g
KLLA0B00166g KLLA0B00187g
KLLA0B00242g KLLA0B00264g
KLLA0B14773g KLLA0B14795g
KLLA0B14861g KLLA0B14883g
KLLA0C00154g KLLA0C00176g
KLLA0C00264g KLLA0C00286g
KLLA0C04906g KLLA0C04928g
KLLA0C18909g KLLA0C18931g
KLLA0C18997g KLLA0C19019g
KLLA0C19272g KLLA0C19316g
KLLA0C19327g KLLA0C19338g
KLLA0C19382g KLLA0C19437g
KLLA0D00157g KLLA0D00187g
KLLA0D00231g KLLA0D00253g
KLLA0D00352g KLLA0D00374g
KLLA0D03905g KLLA0D03927g
KLLA0D06193g KLLA0D06215g
KLLA0D10131g KLLA0D10153g
KLLA0D11308g KLLA0D11330g
KLLA0D12606g KLLA0D12628g
KLLA0D15378g KLLA0D15400g
KLLA0D19941g KLLA0D19945g
KLLA0D19953g KLLA0D19957g
KLLA0D19965g KLLA0D19987g
KLLA0E00155g KLLA0E00177g
KLLA0E13993g KLLA0E14015g
KLLA0E14587g KLLA0E14609g
KLLA0E14631g KLLA0E14653g
KLLA0E24861g KLLA0E24883g
KLLA0E24905g KLLA0E24927g
KLLA0E25015g KLLA0E25081g
KLLA0F00176g KLLA0F00220g
KNAG0A01140 KNAG0A01150
KNAG0B05600 KNAG0B05625
KNAG0B06960 KNAG0B06970
KNAG0C05200 KNAG0C05230
KNAG0D00100 KNAG0D00110
KNAG0D05350 KNAG0D05360
KNAG0D05380 KNAG0D05400
KNAG0E01550 KNAG0E01570
KNAG0E04220 KNAG0E04230
KNAG0E04250 KNAG0E04260
KNAG0G01070 KNAG0G01080
KNAG0G02310 KNAG0G02320
KNAG0G03450 KNAG0G03460
KNAG0G03660 KNAG0G03680
KNAG0H03840 KNAG0H03850
KNAG0H03860 KNAG0H03870
KNAG0I00110 KNAG0I00120
KNAG0K00100 KNAG0K00120
KNAG0K01020 KNAG0K01030
KNAG0K02680 KNAG0K02690
KNAG0L02450 KNAG0L02460
KNAG0M01670 KNAG0M01680
KNAG0M02660 KNAG0M02670
SAKL0A05654g SAKL0A05676g
SAKL0A08228g SAKL0A08250g
SAKL0A08624g SAKL0A08646g
SAKL0A10054g SAKL0A10076g
SAKL0A10538g SAKL0A10560g
SAKL0A10626g SAKL0A10648g
SAKL0B00198g SAKL0B00220g
SAKL0B00242g SAKL0B00264g
SAKL0B04554g SAKL0B04576g
SAKL0B05918g SAKL0B05940g
SAKL0B12562g SAKL0B12584g
SAKL0B12694g SAKL0B12716g
SAKL0C00154g SAKL0C00176g
SAKL0C00352g SAKL0C00374g
SAKL0C02112g SAKL0C02134g
SAKL0C06116g SAKL0C06138g
SAKL0C06996g SAKL0C07018g
SAKL0C10890g SAKL0C10912g
SAKL0C10978g SAKL0C11000g
SAKL0C11066g SAKL0C11088g
SAKL0C13926g SAKL0C13970g
SAKL0C13992g SAKL0C14014g
SAKL0D13816g SAKL0D13838g
SAKL0D14938g SAKL0D14960g
SAKL0D15202g SAKL0D15224g
SAKL0E14586g SAKL0E14608g
SAKL0E15290g SAKL0E15312g
SAKL0F00198g SAKL0F00242g
SAKL0F00286g SAKL0F00308g
SAKL0F04334g SAKL0F04356g
SAKL0F16302g SAKL0F16324g
SAKL0F16412g SAKL0F16434g
SAKL0F16500g SAKL0F16522g
SAKL0F16544g SAKL0F16566g
SAKL0F16588g SAKL0F16610g
SAKL0F16632g SAKL0F16654g
SAKL0F16676g SAKL0F16698g
SAKL0F16742g SAKL0F16764g
SAKL0G19888g SAKL0G19910g
SAKL0H00132g SAKL0H00176g
SAKL0H00330g SAKL0H00374g
KLTH0A00220g KLTH0A00242g
KLTH0A00264g KLTH0A00308g
KLTH0A00418g KLTH0A00440g
KLTH0A07986g KLTH0A08008g
KLTH0B00110g KLTH0B00132g
KLTH0B00220g KLTH0B00264g
KLTH0B00308g KLTH0B00330g
KLTH0B00506g KLTH0B00528g
KLTH0B00572g KLTH0B00594g
KLTH0B00770g KLTH0B00836g
Kthe_YGOB_Kwal_33.14517 KLTH0B06688g
KLTH0B10054g KLTH0B10076g
KLTH0B10164g KLTH0B10186g
KLTH0B10384g KLTH0B10428g
KLTH0B10450g KLTH0B10472g
KLTH0C00220g KLTH0C00264g
KLTH0C00396g KLTH0C00418g
KLTH0D00374g KLTH0D00396g
KLTH0D00484g KLTH0D00506g
KLTH0D16808g KLTH0D16830g
KLTH0D17050g KLTH0D17072g
KLTH0D18150g KLTH0D18194g
KLTH0E00264g KLTH0E00286g
KLTH0E00330g KLTH0E00352g
KLTH0E00374g KLTH0E00418g
KLTH0E00440g KLTH0E00462g
KLTH0E03080g KLTH0E03102g
KLTH0E03124g KLTH0E03146g
KLTH0E03344g KLTH0E03366g
KLTH0E10362g KLTH0E10384g
KLTH0E16654g KLTH0E16676g
KLTH0E16742g KLTH0E16764g
KLTH0E16786g KLTH0E16808g
KLTH0E16984g KLTH0E17006g
KLTH0F00330g KLTH0F00352g
KLTH0F15818g KLTH0F15840g
KLTH0G19426g KLTH0G19448g
KLTH0G19470g KLTH0G19492g
KLTH0G19690g KLTH0G19734g
KLTH0G19756g KLTH0G19800g
KLTH0H00154g KLTH0H00198g
KLTH0H00286g KLTH0H00308g
KLTH0H05280g KLTH0H05324g
KLTH0H16214g KLTH0H16236g
NCAS0A00120 NCAS0A00130
NCAS0A03090 NCAS0A03100
NCAS0A03390 NCAS0A03400
NCAS0A07470 NCAS0A07480
NCAS0A09630 NCAS0A09640
NCAS0A14090 NCAS0A14100
NCAS0B01550 NCAS0B01560
NCAS0B05750 NCAS0B05760
NCAS0C00110 NCAS0C00120
NCAS0C03020 NCAS0C03030
NCAS0C05980 NCAS0C05990
NCAS0D04960 NCAS0D04970
NCAS0F00100 NCAS0F00110
NCAS0F01250 NCAS0F01260
NCAS0F03690 NCAS0F03700
NCAS0F04050 NCAS0F04060
NCAS0F04110 NCAS0F04120
NCAS0G01870 NCAS0G01880
NCAS0G03830 NCAS0G03840
NCAS0H00780 NCAS0H00790
NCAS0H00970 NCAS0H00980
NCAS0H03630 NCAS0H03640
NCAS0I03070 NCAS0I03080
NCAS0I03190 NCAS0I03200
NCAS0J02350 NCAS0J02360
NDAI0A08900 NDAI0A08910
NDAI0B00510 NDAI0B00520
NDAI0B00550 NDAI0B00560
NDAI0B00590 NDAI0B00595
NDAI0C00100 NDAI0C00110
NDAI0C06320 NDAI0C06330
NDAI0D00460 NDAI0D00470
NDAI0D04990 NDAI0D05000
NDAI0D05020 NDAI0D05030
NDAI0F00100 NDAI0F00110
NDAI0F00130 NDAI0F00140
NDAI0F00250 NDAI0F00260
NDAI0F01720 NDAI0F01730
NDAI0F01910 NDAI0F01920
NDAI0F02200 NDAI0F02210
NDAI0F02330 NDAI0F02340
NDAI0G01460 NDAI0G01470
NDAI0G03570 NDAI0G03580
NDAI0G03630 NDAI0G03640
NDAI0G04880 NDAI0G04890
NDAI0H00760 NDAI0H00770
NDAI0H01220 NDAI0H01230
NDAI0H02950 NDAI0H02960
NDAI0I00110 NDAI0I00120
