CAGL0A00649g CAGL0A00715g
CAGL0A00715g CAGL0A00737g
CAGL0A01284g CAGL0A01325g
CAGL0A01325g CAGL0A01366g
CAGL0A01870g CAGL0A01892g
CAGL0B02882g CAGL0B02904g
CAGL0B02904g CAGL0B02926g
CAGL0B02926g CAGL0B02948g
CAGL0B02948g CAGL0B02970g
CAGL0C00110g CAGL0C00209g
CAGL0C00209g CAGL0C00231g
CAGL0C00231g CAGL0C00253g
CAGL0C00253g CAGL0C00275g
CAGL0C00781g CAGL0C00847g
CAGL0C00847g CAGL0C00968g
CAGL0C00968g CAGL0C01133g
CAGL0C01837g CAGL0C01859g
CAGL0C03916g CAGL0C03938g
CAGL0C03938g CAGL0C03960g
CAGL0C03960g CAGL0C03982g
CAGL0C03982g CAGL0C04004g
CAGL0C04004g CAGL0C04026g
CAGL0C04026g CAGL0C04048g
CAGL0D00374g CAGL0D00396g
CAGL0D02640g CAGL0D02662g
CAGL0E00187g CAGL0E00231g
CAGL0E00231g CAGL0E00275g
CAGL0E01727g CAGL0E01749g
CAGL0E01749g CAGL0E01771g
CAGL0E01771g CAGL0E01793g
CAGL0E01793g CAGL0E01815g
CAGL0E01815g CAGL0E01837g
CAGL0E01837g CAGL0E01859g
CAGL0E01859g CAGL0E01881g
CAGL0E05170g CAGL0E05192g
CAGL0E05192g CAGL0E05214g
CAGL0E05214g CAGL0E05236g
CAGL0E06600g CAGL0E06644g
CAGL0E06644g CAGL0E06666g
CAGL0E06666g CAGL0E06688g
CAGL0F07161g CAGL0F07183g
CAGL0G07183g2 CAGL0G07183g1
CAGL0G09625g CAGL0G09647g
CAGL0G10175g CAGL0G10219g
CAGL0H04257g CAGL0H04279g
CAGL0H06017g CAGL0H06039g
CAGL0H09240g CAGL0H09262g
CAGL0I00220g CAGL0I00242g
CAGL0I02024g CAGL0I02046g
CAGL0I10098g CAGL0I10147g
CAGL0I10147g CAGL0I10200g
CAGL0I10200g CAGL0I10246g
CAGL0I10340g CAGL0I10362g
CAGL0J01727g CAGL0J01774g
CAGL0J01774g CAGL0J01800g
CAGL0J02024g CAGL0J02046g
CAGL0J02508g CAGL0J02530g
CAGL0J02530g CAGL0J02552g
CAGL0J11891g CAGL0J11968g
CAGL0K00110g CAGL0K00170g
CAGL0K07546g CAGL0K07568g
CAGL0K12980g CAGL0K13002g
CAGL0K13002g CAGL0K13024g
CAGL0L00157g CAGL0L00227g
CAGL0L01023g CAGL0L01045g
CAGL0L04832g CAGL0L04836g
CAGL0L07568g CAGL0L07590g
CAGL0L12496g CAGL0L12518g
CAGL0L13299g CAGL0L13332g
CAGL0L13332g CAGL0L13354g
CAGL0M00132g CAGL0M00154g
CAGL0M07744g CAGL0M07766g
CAGL0M14047g CAGL0M14069g
CAGL0M14069g CAGL0M14091g
CAGL0M14091g CAGL0M14113g
Ecym_2200 Ecym_2201
Ecym_2739 Ecym_2740
Ecym_3379 Ecym_3380
Ecym_3622 Ecym_3623
Ecym_4267 Ecym_4268
Ecym_4507 Ecym_4508
Ecym_4582 Ecym_4583
Ecym_5675 Ecym_5676
Ecym_6119 Ecym_6120
Ecym_6120 Ecym_6121
Ecym_6314 Ecym_6315
Ecym_6315 Ecym_6316
Ecym_7159 Ecym_7160
Ecym_8387 Ecym_8388
Ecym_8388 Ecym_8389
ABL210C ABL209C
ABR027C ABR028C
ABR245C ABR246W
ABR246W ABR247W
ABR247W ABR248W
ABR248W ABR249W
ACL205C ACL204W
ACL204W ACL203C
ACL203C ACL202W
ACL202W ACL201W
ACL201W ACL200W
ACL171W ACL170W
ACL115W ACL114W
ACR272C ACR273W
ADL400W ADL399C
ADL399C ADL398C
ADL398C ADL397C
ADL397C ADL396W
ADL396W ADL395C
ADL395C ADL394C
ADL394C ADL393W
ADL051W ADL050W
AER451W AER452C
AER452C AER453C
AER453C AER454C
AER457W AER458C
AER458C AER459W
AFL235W AFL234C
AFL234C AFL233C
AFL095W AFL092C
AFR379W AFR380C
AFR436C AFR437W
AGL369W AGL368W
AGL368W AGL367C
AGL367C AGL367WA
AGL367WA AGL366C
AGL366C AGL365C
AGL365C AGL364C
AGL364C AGL363C
AGL265W AGL264W
AGR328C AGR329C
AGR404W AGR405C
KAFR0A00100 KAFR0A00110
KAFR0A00110 KAFR0A00120
KAFR0A00120 KAFR0A00130
KAFR0A03050 KAFR0A03060
KAFR0A08550 KAFR0A08560
KAFR0A08710 KAFR0A08720
KAFR0A08720 KAFR0A08730
KAFR0B00100 KAFR0B00110
KAFR0B00110 KAFR0B00113
KAFR0B00113 KAFR0B00115
KAFR0B00115 KAFR0B00117
KAFR0B00117 KAFR0B00140
KAFR0B00140 KAFR0B00150
KAFR0B00150 KAFR0B00160
KAFR0B00160 KAFR0B00163
KAFR0B00163 KAFR0B00166
KAFR0B00166 KAFR0B00180
KAFR0B00180 KAFR0B00190
KAFR0B00190 KAFR0B00200
KAFR0B00200 KAFR0B00210
KAFR0B00210 KAFR0B00220
KAFR0B02990 KAFR0B03000
KAFR0B03240 KAFR0B03250
KAFR0B06410 KAFR0B06420
KAFR0B06420 KAFR0B06430
KAFR0B06430 KAFR0B06440
KAFR0B06530 KAFR0B06540
KAFR0B06620 KAFR0B06625
KAFR0B06700 KAFR0B06710
KAFR0B07035 KAFR0B07040
KAFR0B07040 KAFR0B07050
KAFR0B07050 KAFR0B07060
KAFR0B07060 KAFR0B07070
KAFR0B07070 KAFR0B07080
KAFR0C00100 KAFR0C00130
KAFR0C00130 KAFR0C00140
KAFR0C00140 KAFR0C00150
KAFR0C00150 KAFR0C00170
KAFR0C00170 KAFR0C00180
KAFR0C00180 KAFR0C00185
KAFR0C01510 KAFR0C01520
KAFR0C01890 KAFR0C01900
KAFR0C02680 KAFR0C02690
KAFR0C02690 KAFR0C02700
KAFR0C03660 KAFR0C03670
KAFR0C03730 KAFR0C03740
KAFR0C03740 KAFR0C03750
KAFR0C06253 KAFR0C06256
KAFR0C06256 KAFR0C06258
KAFR0C06258 KAFR0C06260
KAFR0C06260 KAFR0C06263
KAFR0C06263 KAFR0C06275
KAFR0C06560 KAFR0C06570
KAFR0C06570 KAFR0C06580
KAFR0C06580 KAFR0C06590
KAFR0C06590 KAFR0C06595
KAFR0D00730 KAFR0D00740
KAFR0D00740 KAFR0D00750
KAFR0D00750 KAFR0D00760
KAFR0D00780 KAFR0D00790
KAFR0D00790 KAFR0D00800
KAFR0D00800 KAFR0D00810
KAFR0D02050 KAFR0D02060
KAFR0D02490 KAFR0D02500
KAFR0D05130 KAFR0D05140
KAFR0D05140 KAFR0D05170
KAFR0E00100 KAFR0E00110
KAFR0E00110 KAFR0E00115
KAFR0E00115 KAFR0E00120
KAFR0E00120 KAFR0E00130
KAFR0E00130 KAFR0E00140
KAFR0E00140 KAFR0E00150
KAFR0E01510 KAFR0E01520
KAFR0E03460 KAFR0E03480
KAFR0E04400 KAFR0E04410
KAFR0E04490 KAFR0E04495
KAFR0E04495 KAFR0E04500
KAFR0F00100 KAFR0F00105
KAFR0F00105 KAFR0F00110
KAFR0F00110 KAFR0F00115
KAFR0F00115 KAFR0F00120
KAFR0F00120 KAFR0F00125
KAFR0F00125 KAFR0F00127
KAFR0F00127 KAFR0F00129
KAFR0F00129 KAFR0F00130
KAFR0F03530 KAFR0F03540
KAFR0F03540 KAFR0F03550
KAFR0F04410 KAFR0F04420
KAFR0F04420 KAFR0F04430
KAFR0F04430 KAFR0F04440
KAFR0F04440 KAFR0F04445
KAFR0F04445 KAFR0F04447
KAFR0G00095 KAFR0G00100
KAFR0G00100 KAFR0G00110
KAFR0G00110 KAFR0G00120
KAFR0G00120 KAFR0G00130
KAFR0G00150 KAFR0G00160
KAFR0G00340 KAFR0G00350
KAFR0G00610 KAFR0G00620
KAFR0G02160 KAFR0G02170
KAFR0G02720 KAFR0G02730
KAFR0G02805 KAFR0G02810
KAFR0G02810 KAFR0G02820
KAFR0G03810 KAFR0G03820
KAFR0G03820 KAFR0G03830
KAFR0G03830 KAFR0G03840
KAFR0G03840 KAFR0G03850
KAFR0G03850 KAFR0G03860
KAFR0H03575 KAFR0H03580
KAFR0H03760 KAFR0H03770
KAFR0H03770 KAFR0H03780
KAFR0H03780 KAFR0H03790
KAFR0H03790 KAFR0H03810
KAFR0I00100 KAFR0I00110
KAFR0I00110 KAFR0I00120
KAFR0I00120 KAFR0I00130
KAFR0I00130 KAFR0I00140
KAFR0I01770 KAFR0I01780
KAFR0I02460 KAFR0I02470
KAFR0I02940 KAFR0I02950
KAFR0I02950 KAFR0I02955
KAFR0I02955 KAFR0I02960
KAFR0I02960 KAFR0I02970
KAFR0J02970 KAFR0J02980
KAFR0J02980 KAFR0J02990
KAFR0K00100 KAFR0K00120
KAFR0K00120 KAFR0K00130
KAFR0K00130 KAFR0K00135
KAFR0K00135 KAFR0K00140
KAFR0K00140 KAFR0K00145
KAFR0K00145 KAFR0K00150
KAFR0K00150 KAFR0K00160
KAFR0K01480 KAFR0K01490
KAFR0K01490 KAFR0K01500
KAFR0K02290 KAFR0K02295
KAFR0K02600 KAFR0K02610
KAFR0L00100 KAFR0L00110
KAFR0L00110 KAFR0L00120
KAFR0L00120 KAFR0L00140
KAFR0L00140 KAFR0L00150
KAFR0L00150 KAFR0L00160
KAFR0L00160 KAFR0L00170
KAFR0L02000 KAFR0L02010
KLLA0A00110g KLLA0A00132g
KLLA0A00132g KLLA0A00143g
KLLA0A00143g KLLA0A00154g
KLLA0A00154g KLLA0A00176g
KLLA0A00176g KLLA0A00198g
KLLA0A00198g KLLA0A00220g
KLLA0A00220g KLLA0A00242g
KLLA0A00242g KLLA0A00264g
KLLA0A00352g KLLA0A00374g
KLLA0A03289g KLLA0A03311g
KLLA0A04323g KLLA0A04345g
KLLA0A04345g KLLA0A04367g
KLLA0A04367g KLLA0A04389g
KLLA0A04433g KLLA0A04499g
KLLA0A04499g KLLA0A04521g
KLLA0A04521g KLLA0A04543g
KLLA0A04543g KLLA0A04565g
KLLA0A04565g KLLA0A04587g
KLLA0A04587g KLLA0A04609g
KLLA0A04609g KLLA0A04620g
KLLA0A10351g KLLA0A10373g
KLLA0A10373g KLLA0A10395g
KLLA0A11913g KLLA0A11935g
KLLA0A11935g KLLA0A11957g
KLLA0A11957g KLLA0A11979g
KLLA0A11979g KLLA0A12001g
KLLA0A12001g KLLA0A12045g
KLLA0A12045g KLLA0A12067g
KLLA0A12067g KLLA0A12089g
KLLA0B00143g KLLA0B00166g
KLLA0B00166g KLLA0B00187g
KLLA0B00187g KLLA0B00220g
KLLA0B00220g KLLA0B00242g
KLLA0B00242g KLLA0B00264g
KLLA0B00264g KLLA0B00286g
KLLA0B00286g KLLA0B00308g
KLLA0B00451g KLLA0B00473g
Klac_YGOB_Anc_6.216a Klac_YGOB_Anc_6.216
KLLA0B03135g KLLA0B03157g
KLLA0B05269g KLLA0B05379g
KLLA0B09042g KLLA0B09064g
KLLA0B10395g KLLA0B10406g
KLLA0B10406g KLLA0B10428g
KLLA0B14498g KLLA0B14531g
KLLA0B14597g KLLA0B14619g
KLLA0B14619g KLLA0B14685g
KLLA0B14685g KLLA0B14707g
KLLA0B14707g KLLA0B14729g
KLLA0B14729g KLLA0B14751g
KLLA0B14751g KLLA0B14773g
KLLA0B14773g KLLA0B14795g
KLLA0B14795g KLLA0B14817g
KLLA0B14861g KLLA0B14883g
KLLA0B14883g KLLA0B14916g
KLLA0B14916g KLLA0B14927g
KLLA0B14927g KLLA0B14949g
KLLA0C00110g KLLA0C00132g
KLLA0C00132g KLLA0C00154g
KLLA0C00154g KLLA0C00176g
KLLA0C00176g KLLA0C00190g
KLLA0C00190g KLLA0C00198g
KLLA0C00198g KLLA0C00220g
KLLA0C00220g KLLA0C00242g
KLLA0C00242g KLLA0C00264g
KLLA0C00264g KLLA0C00286g
KLLA0C00286g KLLA0C00330g
KLLA0C04906g KLLA0C04928g
KLLA0C04928g KLLA0C04950g
KLLA0C04950g KLLA0C04994g
KLLA0C04994g KLLA0C05016g
KLLA0C05412g KLLA0C05456g
KLLA0C18909g KLLA0C18931g
KLLA0C18931g KLLA0C18953g
KLLA0C18997g KLLA0C19019g
KLLA0C19019g KLLA0C19041g
KLLA0C19041g KLLA0C19063g
KLLA0C19063g KLLA0C19085g
KLLA0C19132g KLLA0C19184g
KLLA0C19184g KLLA0C19206g
KLLA0C19206g KLLA0C19228g
KLLA0C19228g KLLA0C19250g
KLLA0C19250g KLLA0C19272g
KLLA0C19272g KLLA0C19316g
KLLA0C19316g KLLA0C19327g
KLLA0C19327g KLLA0C19338g
KLLA0C19382g KLLA0C19437g
KLLA0C19437g KLLA0C19547g
KLLA0D00143g KLLA0D00157g
KLLA0D00157g KLLA0D00187g
KLLA0D00187g KLLA0D00209g
KLLA0D00209g KLLA0D00231g
KLLA0D00231g KLLA0D00253g
KLLA0D00253g KLLA0D00258g
KLLA0D00258g KLLA0D00264g
KLLA0D00264g KLLA0D00269g
KLLA0D00269g KLLA0D00275g
KLLA0D00275g KLLA0D00330g
KLLA0D00330g KLLA0D00352g
KLLA0D00352g KLLA0D00374g
KLLA0D00550g KLLA0D00572g
KLLA0D00660g KLLA0D00682g
KLLA0D00682g KLLA0D00704g
KLLA0D03333g KLLA0D03344g
KLLA0D03905g KLLA0D03927g
KLLA0D06193g KLLA0D06215g
KLLA0D10109g KLLA0D10131g
KLLA0D10131g KLLA0D10153g
KLLA0D10153g KLLA0D10175g
KLLA0D11286g KLLA0D11308g
KLLA0D11308g KLLA0D11330g
KLLA0D12606g KLLA0D12628g
KLLA0D12628g KLLA0D12650g
KLLA0D15356g KLLA0D15378g
KLLA0D15378g KLLA0D15400g
KLLA0D17600g KLLA0D17732g
KLLA0D17732g KLLA0D17864g
KLLA0D17864g KLLA0D17952g
KLLA0D19921g KLLA0D19929g
KLLA0D19929g KLLA0D19933g
KLLA0D19933g KLLA0D19941g
KLLA0D19941g KLLA0D19945g
KLLA0D19945g KLLA0D19949g
KLLA0D19949g KLLA0D19953g
KLLA0D19953g KLLA0D19957g
KLLA0D19957g KLLA0D19965g
KLLA0D19965g KLLA0D19987g
KLLA0D19987g KLLA0D20009g
KLLA0D20009g KLLA0D20031g
KLLA0E00111g KLLA0E00133g
KLLA0E00133g KLLA0E00155g
KLLA0E00155g KLLA0E00177g
KLLA0E00265g KLLA0E00287g
KLLA0E00287g KLLA0E00309g
KLLA0E00309g KLLA0E00397g
KLLA0E01783g KLLA0E01805g
KLLA0E04577g KLLA0E04599g
KLLA0E09857g KLLA0E09879g
KLLA0E13993g KLLA0E14015g
KLLA0E14433g KLLA0E14477g
KLLA0E14543g KLLA0E14587g
KLLA0E14587g KLLA0E14609g
KLLA0E14609g KLLA0E14631g
KLLA0E14631g KLLA0E14653g
KLLA0E14653g KLLA0E14675g
KLLA0E18393g KLLA0E18415g
KLLA0E19867g KLLA0E19889g
KLLA0E24817g KLLA0E24861g
KLLA0E24861g KLLA0E24883g
KLLA0E24883g KLLA0E24905g
KLLA0E24905g KLLA0E24927g
KLLA0E24927g KLLA0E24949g
KLLA0E24949g KLLA0E24993g
KLLA0E24993g KLLA0E25015g
KLLA0E25015g KLLA0E25081g
KLLA0E25081g KLLA0E25147g
KLLA0E25147g KLLA0E25180g
KLLA0F00132g KLLA0F00154g
KLLA0F00154g KLLA0F00176g
KLLA0F00176g KLLA0F00220g
KLLA0F00220g KLLA0F00242g
KLLA0F00242g KLLA0F00264g
KLLA0F00264g KLLA0F00286g
KLLA0F00616g KLLA0F00638g
KLLA0F01573g KLLA0F01595g
KLLA0F04125g KLLA0F04169g
KLLA0F20603g KLLA0F20614g
KLLA0F20614g KLLA0F20636g
KLLA0F22319g KLLA0F22341g
KLLA0F28083g KLLA0F28105g
KNAG0A00100 KNAG0A01140
KNAG0A01140 KNAG0A01150
KNAG0A02290 KNAG0A02300
KNAG0A06620 KNAG0A06625
KNAG0A06925 KNAG0A06930
KNAG0A06930 KNAG0A06940
KNAG0A06940 KNAG0A06945
KNAG0B00100 KNAG0B00105
KNAG0B02050 KNAG0B02060
KNAG0B03880 KNAG0B03890
KNAG0B05205 KNAG0B05210
KNAG0B05400 KNAG0B05410
KNAG0B05600 KNAG0B05625
KNAG0B06850 KNAG0B06860
KNAG0B06940 KNAG0B06950
KNAG0B06950 KNAG0B06960
KNAG0B06960 KNAG0B06970
KNAG0B06970 KNAG0B06980
KNAG0B06980 KNAG0B06990
KNAG0B06990 KNAG0B07000
KNAG0B07000 KNAG0B07010
KNAG0C00100 KNAG0C00120
KNAG0C00120 KNAG0C00130
KNAG0C00130 KNAG0C00140
KNAG0C04750 KNAG0C04760
KNAG0C05200 KNAG0C05230
KNAG0C06675 KNAG0C06680
KNAG0D00100 KNAG0D00110
KNAG0D00110 KNAG0D00120
KNAG0D03060 KNAG0D03070
KNAG0D03620 KNAG0D03630
KNAG0D05350 KNAG0D05360
KNAG0D05360 KNAG0D05370
KNAG0D05370 KNAG0D05380
KNAG0D05380 KNAG0D05400
KNAG0E00950 KNAG0E00960
KNAG0E00990 KNAG0E01000
KNAG0E01160 KNAG0E01170
KNAG0E01405 KNAG0E01410
KNAG0E01530 KNAG0E01550
KNAG0E01550 KNAG0E01570
KNAG0E03070 KNAG0E03080
KNAG0E03160 KNAG0E03170
KNAG0E03750 KNAG0E03760
KNAG0E04220 KNAG0E04230
KNAG0E04230 KNAG0E04240
KNAG0E04240 KNAG0E04250
KNAG0E04250 KNAG0E04260
KNAG0E04260 KNAG0E04270
KNAG0E04270 KNAG0E04280
KNAG0F03415 KNAG0F03420
KNAG0F03755 KNAG0F03760
KNAG0F03760 KNAG0F03765
KNAG0G00420 KNAG0G00430
KNAG0G00960 KNAG0G00963
KNAG0G00963 KNAG0G00966
KNAG0G01070 KNAG0G01080
KNAG0G02165 KNAG0G02170
KNAG0G02170 KNAG0G02180
KNAG0G02310 KNAG0G02320
KNAG0G02510 KNAG0G02530
KNAG0G02530 KNAG0G02540
KNAG0G02840 KNAG0G02850
