KAFR0J01280 KAFR0J01290
KLLA0E08669g KLLA0E08647g
KNAG0A05330 KNAG0A05340
KNAG0H01910 KNAG0H01900
SAKL0E07282g SAKL0E07304g
KLTH0G10714g KLTH0G10692g
NCAS0B06170 NCAS0B06180
NCAS0G03720 NCAS0G03710
NDAI0B03470 NDAI0B03480
NDAI0G00740 NDAI0G00750
YNL029C YNL030W
TBLA0B06020 TBLA0B06010
TDEL0G02300 TDEL0G02290
TPHA0G00800 TPHA0G00790
ZYRO0A02222g ZYRO0A02200g
